# wavelength (nm)	photon flux (phot/s/cm^2/nm)
391.50	97553501056381.72
392.50	87722822337545.17
393.50	82038555801445.75
394.50	83509507981196.66
395.50	87773547094073.28
396.50	92552944018394.88
397.50	102214335397060.86
398.50	118250090644411.89
399.50	134776716862066.69
400.50	146311737772978.56
401.50	151154234073547.16
402.50	152344946831174.25
403.50	151376039421566.81
404.50	149415986540947.56
405.50	147586041266421.34
406.50	147857500229890.44
407.50	148816267800382.91
408.50	150554101002244.97
409.50	152457132940224.22
410.50	153959195528114.03
411.50	156961300566068.38
412.50	158908303407983.38
413.50	160688234657272.75
414.50	161376954593547.66
415.50	160848087159249.09
416.50	160455229073244.97
417.50	159095126884565.56
418.50	159030491404511.16
419.50	159141176426003.50
420.50	159440475870707.31
421.50	160046220884226.75
422.50	159244696747800.94
423.50	158625887835344.69
424.50	157754298225432.84
425.50	156525596922735.66
426.50	154649981559169.47
427.50	149971445281357.34
428.50	145253132324351.28
429.50	141905925927367.62
430.50	141402369964858.69
431.50	145211308898131.25
432.50	151582068346557.81
433.50	158116526345961.97
434.50	163739002993024.53
435.50	167039350430006.34
436.50	168746787970336.91
437.50	169055692963483.72
438.50	169802029670030.84
439.50	171835442472183.94
440.50	174939462641499.16
441.50	179069979772939.16
442.50	182767149712606.16
443.50	185256859281529.78
444.50	187182598168400.94
445.50	188594580328309.44
446.50	190693157073705.31
447.50	194066293625680.16
448.50	197294363963305.28
449.50	199713362043870.97
450.50	201502367305254.84
451.50	201706229173494.75
452.50	200982733762258.94
453.50	200739807821972.75
454.50	201168876654201.09
455.50	201846409174314.38
456.50	203054002742665.44
457.50	204434058104150.44
458.50	205518400848550.41
459.50	206524108222256.75
460.50	207449033996979.25
461.50	208144483217440.84
462.50	208373226767209.81
463.50	208047887474345.19
464.50	207363079652665.56
465.50	206556751628122.50
466.50	205653676971656.19
467.50	205280496468128.28
468.50	205561637073909.72
469.50	206203082088202.66
470.50	207236856976179.44
471.50	208652205542524.72
472.50	210133509140395.97
473.50	211540414027920.12
474.50	212990362361634.72
475.50	214365743161460.97
476.50	215538849300166.38
477.50	216718822815541.72
478.50	217781204618449.19
479.50	218317036540048.78
480.50	218146668132964.81
481.50	216493019065331.00
482.50	213920127137739.78
483.50	210838651667879.16
484.50	207719413090072.22
485.50	205121787167148.09
486.50	203609637685248.50
487.50	203599101038882.66
488.50	204773535371035.72
489.50	206532782375997.28
490.50	208541277397140.44
491.50	210457189451329.94
492.50	212131553076446.97
493.50	213203654737901.28
494.50	213905428928228.03
495.50	214036082418297.22
496.50	213717065866648.81
497.50	213244407133931.16
498.50	212539619357762.81
499.50	211835445921392.62
500.50	211379146812581.06
501.50	211264131396068.84
502.50	211623255506930.50
503.50	212376745847718.38
504.50	213361745212036.25
505.50	214381227874888.84
506.50	215228604238050.09
507.50	215675071891823.06
508.50	215757808228237.38
509.50	215548819991581.06
510.50	214935181322529.50
511.50	213444108461012.25
512.50	211384338602562.56
513.50	209384344115175.09
514.50	207571825215225.81
515.50	205967084256229.50
516.50	204682630284967.75
517.50	204021876006521.62
518.50	204861298058109.41
519.50	206270297701896.16
520.50	207768989432485.38
521.50	209270063519557.19
522.50	210889990744220.53
523.50	212632597738096.97
524.50	214200474079081.66
525.50	215330728614386.78
526.50	216129983757500.91
527.50	216951987959998.00
528.50	218266481305272.38
529.50	219461969596135.72
530.50	220437376359132.53
531.50	221138435925438.75
532.50	221621432411579.31
533.50	221998671791734.88
534.50	222203473466924.25
535.50	222190112523869.97
536.50	221871998108611.56
537.50	221557958311525.44
538.50	221316473776175.50
539.50	221207411499689.59
540.50	221285519229628.09
541.50	221487571274691.31
542.50	221795166805592.47
543.50	222197699297249.28
544.50	222692447036651.06
545.50	223178357813959.09
546.50	223616243341810.09
547.50	224138582121396.69
548.50	224565834366876.50
549.50	224889305069351.06
550.50	225008695067945.66
551.50	224976190621540.22
552.50	224858011185491.97
553.50	224742462610013.81
554.50	224587795105847.72
555.50	224400499188920.19
556.50	224155968183150.78
557.50	223920848353851.38
558.50	223741621840168.88
559.50	223774206516495.50
560.50	223940443857063.91
561.50	224165240406526.03
562.50	224363355630496.41
563.50	224651451765682.88
564.50	225005726220522.78
565.50	225504103174558.06
566.50	226012463802152.81
567.50	226532090734769.38
568.50	226988125380933.94
569.50	227427714318841.19
570.50	227846059499344.84
571.50	228310231692267.12
572.50	228794406092737.41
573.50	229267969184976.38
574.50	229686410837170.88
575.50	230034312145777.22
576.50	230280602816134.41
577.50	230496873331499.50
578.50	230695892809674.78
579.50	230752827821839.41
580.50	230642313937372.09
581.50	230409665992662.19
582.50	230139456317005.31
583.50	229851027520462.22
584.50	229547615465854.75
585.50	229220257608907.44
586.50	228924746984799.31
587.50	228646224194135.66
588.50	228472370840862.22
589.50	228344013847102.84
590.50	228422874998688.59
