# AU: 0.72333199
# Source data: solarmean_2004-02-07_SORCE_and_TIMED.dat
# File creation date: July 30, 2024

# wavelength (nm)	photon flux (phot/s/cm^2/nm)
731.50	914723290766099.50
732.50	913958847605816.88
733.50	913156910792423.38
734.50	912305145370893.88
735.50	911447670769100.62
736.50	910605575085077.62
737.50	909789502582837.50
738.50	908967864064610.12
739.50	908214660526150.62
740.50	907593707372663.88
741.50	906967760025817.75
742.50	906387010183859.62
743.50	905930639536019.75
744.50	905469757539440.50
745.50	904995367824628.38
746.50	904472460256778.00
747.50	903944899368838.62
748.50	903409289116119.50
749.50	902787402505250.88
750.50	902160635717600.50
751.50	901528988753168.12
752.50	900908713866536.50
753.50	900285613373482.75
754.50	899657681237761.00
755.50	898957633423901.50
756.50	898223701666155.75
757.50	897484683811603.12
758.50	896694925371589.62
759.50	895852379869366.25
760.50	895004502594856.00
761.50	894147824853290.38
762.50	893274807604747.00
763.50	892396420624902.38
764.50	891512663913756.38
765.50	890725388244418.62
766.50	889936163085286.62
767.50	889141842527438.62
768.50	888447554459677.62
769.50	887800291370780.88
770.50	887148341230069.50
771.50	886480615180152.88
772.50	885787553046972.12
773.50	885089721729896.75
774.50	884387121228927.00
775.50	883646740188924.25
776.50	882901170951349.88
777.50	882150746534257.12
778.50	881402249243496.88
779.50	880653441542499.50
780.50	879899807702043.25
781.50	879130562940121.38
782.50	878310428377950.50
783.50	877485322412058.25
784.50	876655245042444.00
785.50	875712074227596.62
786.50	874725619526205.25
787.50	873733821401062.12
788.50	872720090993398.38
789.50	871656066844209.88
790.50	870586543430514.62
791.50	869511520752312.25
792.50	868540951709523.12
793.50	867598045402253.12
794.50	866650000198865.00
795.50	865710575879198.00
796.50	864812170514769.12
797.50	863908776663096.00
798.50	863000394324178.88
799.50	862012682413092.88
800.50	860983134489252.25
801.50	859948320512580.75
802.50	858916242043863.12
803.50	857971050077030.50
804.50	857020841327173.62
805.50	856065615794292.50
806.50	855159693396983.38
807.50	854315362253499.12
808.50	853466313672137.00
809.50	852612547652896.88
810.50	851716070827203.62
811.50	850805272749460.12
812.50	849889640042695.75
813.50	848960157760932.12
814.50	847952789917562.75
815.50	846940385960097.12
816.50	845922945888535.12
817.50	844951258187872.88
818.50	844050934543662.88
819.50	843145885418292.38
820.50	842236110811761.38
821.50	841418458738551.00
822.50	840648529378548.12
823.50	839874237281013.00
824.50	839095582445945.75
825.50	838220488456944.75
826.50	837328237565069.00
827.50	836431370435258.25
828.50	835506766878818.75
829.50	834269952298840.38
830.50	833027724164306.62
831.50	831780082475217.38
832.50	830496478729084.88
833.50	829110534913544.12
834.50	827718871752632.50
835.50	826321489246350.25
836.50	824964645595205.25
837.50	823681051320073.00
838.50	822392036616876.62
839.50	821097601485615.88
840.50	819668581190576.50
841.50	818088005970133.62
842.50	816501356380908.62
843.50	814908632422901.38
844.50	813230871221984.00
845.50	811479504326409.38
846.50	809721716756440.75
847.50	807957508512077.75
848.50	806413352528285.38
849.50	805027500611672.25
850.50	803636148399162.38
851.50	802239295890755.62
852.50	801124489478693.62
