# λ (nm)	photon flux (γ/s/cm^2/nm)
211.5	7.021130558406793e12
212.5	6.680310409006597e12
213.5	6.067163956735224e12
214.5	8.676019651942149e12
215.5	7.110804502367256e12
216.5	6.901724885652145e12
217.5	6.701926482793882e12
218.5	9.526005678911385e12
219.5	1.0023845589536436e13
220.5	9.94582143893291e12
221.5	7.126680819057381e12
222.5	1.0527846966800123e13
223.5	1.3412451529916455e13
224.5	1.2382837920113223e13
225.5	1.0955248842272133e13
226.5	7.699712482758613e12
227.5	7.859210123907785e12
228.5	1.1339579738560889e13
229.5	9.662920399304238e12
230.5	1.1798775039257934e13
231.5	1.019556881902337e13
232.5	1.106963515276827e13
233.5	9.328834825383645e12
234.5	7.590211410128085e12
235.5	1.2262518806039537e13
236.5	9.458873911915059e12
237.5	1.1520569006896324e13
238.5	7.938681484014796e12
239.5	9.89448056072985e12
240.5	9.12723967366733e12
241.5	1.069437469244977e13
242.5	1.617532216170743e13
243.5	1.4803225552191686e13
244.5	1.411604445324326e13
245.5	1.1159885045477846e13
246.5	1.120316335237164e13
247.5	1.2989186156053041e13
248.5	1.0061059885252066e13
249.5	1.2898139128516473e13
250.5	1.363369101344017e13
251.5	1.056341629737792e13
252.5	9.385397304786336e12
253.5	1.2085976435026371e13
254.5	1.3537417444897586e13
255.5	1.931390146916777e13
256.5	2.3371857287454195e13
257.5	2.9220120062228008e13
258.5	3.1101884814218363e13
259.5	2.609056756859552e13
260.5	2.116975655703594e13
261.5	2.0767693307911832e13
262.5	2.65004443036165e13
263.5	3.900371343008319e13
264.5	6.1378623071912484e13
265.5	6.410128789391484e13
266.5	6.270583348197081e13
267.5	6.287922222388364e13
268.5	6.31002988379543e13
269.5	5.640339226521848e13
270.5	7.151262569039311e13
271.5	5.984925488156702e13
272.5	4.749004876936836e13
273.5	5.467526020105869e13
274.5	3.2059962233388477e13
275.5	4.632735058629012e13
276.5	6.4973127778114266e13
277.5	6.4466308495984805e13
278.5	4.252408250228199e13
279.5	1.9949864002979094e13
