wavelength (nm)	photon flux (phot/s/cm^2/nm)
437.50	140788373602623.31
438.50	141409917481050.44
439.50	143103329138827.19
440.50	145688334965055.25
441.50	149128200129482.59
442.50	152207176847827.47
443.50	154280589193824.94
444.50	155884330784026.69
445.50	157060219441573.28
446.50	158807899165842.53
447.50	161617023193358.59
448.50	164305337113714.28
449.50	166319861437271.22
450.50	167809732240800.91
451.50	167979506948567.09
452.50	167376985137729.00
453.50	167174678149781.72
454.50	167532003608594.00
455.50	168096247851999.88
456.50	169101923150363.56
457.50	170251223398223.44
458.50	171154256290732.16
459.50	171991802208188.28
460.50	172762073787001.38
461.50	173341238930485.47
462.50	173531734924909.16
463.50	173260794685580.28
464.50	172690491622994.53
465.50	172018987403434.44
466.50	171266913279831.25
467.50	170956131221972.66
468.50	171190263110392.28
469.50	171724453936709.62
470.50	172585374279575.09
471.50	173764066456357.31
472.50	174997685512303.91
473.50	176169345853673.75
474.50	177376852469588.78
475.50	178522259775887.78
476.50	179499214189172.53
477.50	180481887704697.09
478.50	181366631681989.06
479.50	181812868679063.56
480.50	181670987086517.59
481.50	180293839954347.69
482.50	178151153934190.25
483.50	175584923172640.16
484.50	172987243564519.22
485.50	170823959249713.59
486.50	169564651961868.03
487.50	169555877118033.62
488.50	170533937641334.81
489.50	171999025981467.38
490.50	173671686289196.78
491.50	175267244163330.41
492.50	176661642231016.50
493.50	177554480837081.22
494.50	178138913370292.31
495.50	178247720663616.16
496.50	177982045958011.31
497.50	177588419141416.81
498.50	177001476915441.72
499.50	176415046307262.53
500.50	176035043668606.75
501.50	175939259651244.59
502.50	176238335645689.94
503.50	176865837019617.19
504.50	177686137454763.66
505.50	178535155334629.38
506.50	179240844317398.81
507.50	179612659390520.59
508.50	179681561620533.78
509.50	179507517709766.03
510.50	178996483809156.06
511.50	177754728980223.03
512.50	176039367354220.44
513.50	174373786230286.84
514.50	172864333436508.44
515.50	171527916627880.72
516.50	170458232534956.19
517.50	169907961091370.44
518.50	170607025780275.94
519.50	171780430619699.25
520.50	173028530388376.84
521.50	174278614166516.94
522.50	175627677988722.72
523.50	177078908646476.50
524.50	178384624864533.41
525.50	179325892768578.28
526.50	179991506743003.16
527.50	180676065971594.69
528.50	181770766640637.66
529.50	182766360750372.75
530.50	183578672535655.16
531.50	184162509935086.19
532.50	184564745958892.88
533.50	184878908220216.03
534.50	185049465592497.09
535.50	185038338694553.38
536.50	184773415281690.53
537.50	184511885181738.16
538.50	184310778585526.41
539.50	184219952300657.31
540.50	184284999860257.72
541.50	184453267360209.22
542.50	184709430721311.56
543.50	185044656905234.38
544.50	185456679288822.47
545.50	185861342313497.75
546.50	186226010253450.47
547.50	186661010258232.66
548.50	187016822876575.94
549.50	187286206967174.56
550.50	187385634105249.03
551.50	187358564634448.88
552.50	187260145644216.44
553.50	187163917615875.62
554.50	187035111623134.38
555.50	186879132921297.12
556.50	186675489246279.75
557.50	186479683131806.38
558.50	186330424571355.06
559.50	186357560857060.53
560.50	186496002126918.91
561.50	186683211087678.88
562.50	186848200031143.41
563.50	187088124434770.94
564.50	187383161670320.53
565.50	187798206437933.38
566.50	188221565537577.16
567.50	188654307135572.38
568.50	189034089531624.69
569.50	189400176059305.44
570.50	189748570937556.16
571.50	190135130224425.06
572.50	190538347206872.16
573.50	190932727167616.53
574.50	191281202386802.34
575.50	191570932111689.47
576.50	191776041222806.94
577.50	191956149763268.97
578.50	192121891763176.62
579.50	192169306834643.22
580.50	192077271661015.47
581.50	191883524114372.50
582.50	191658495426485.34
583.50	191418293984856.09
584.50	191165614592930.25
585.50	190892993307851.06
586.50	190646894170808.31
587.50	190414942380120.78
588.50	190270158549279.81
589.50	190163263761679.78
590.50	190228938765446.66
591.50	190311605390276.12
592.50	190421447128304.91
593.50	190550920396302.19
594.50	190693334344256.50
595.50	190832278337305.09
596.50	190969937595343.69
597.50	191061927688135.06
598.50	191133316541308.03
599.50	191106859775213.91
600.50	191048864838628.38
601.50	190927822554066.41
602.50	190794761955005.22
603.50	190648280404679.03
604.50	190435206221081.72
605.50	190176938325235.78
606.50	189830520898902.31
607.50	189448326134164.12
608.50	189083625838161.00
609.50	188721349998479.09
610.50	188399812757555.44
611.50	188080987506941.47
612.50	187766413226413.47
613.50	187450557297772.06
614.50	187180943841501.03
615.50	186917050530174.81
616.50	186833816230862.91
617.50	186756984254784.25
618.50	186799084127581.78
619.50	186837722198256.97
620.50	186834397715080.31
621.50	186828619744417.03
622.50	186786501332849.34
623.50	186743733881137.00
624.50	186744695713116.78
625.50	186744701429921.75
626.50	186775145034409.75
627.50	186806042915378.28
628.50	186734475762124.38
629.50	186649154606499.59
630.50	186538658714144.28
631.50	186420872358313.59
632.50	186332868479477.97
633.50	186257644065096.12
634.50	186185725063374.78
635.50	186116032268904.69
636.50	186015148633682.53
637.50	185873134085068.47
638.50	185726983060335.12
639.50	185571948900560.31
640.50	185417445300792.38
641.50	185281048752496.03
642.50	185143324425108.12
643.50	184791664233757.94
644.50	184411697237853.25
645.50	183999903341786.44
646.50	183571922182951.62
647.50	183161929408268.38
648.50	182775534597683.94
649.50	182397860554026.56
650.50	182064203858122.12
651.50	181728657893007.19
652.50	181422904159248.34
653.50	181118496401594.03
654.50	180918418082249.00
655.50	180782017211756.38
656.50	180734009891092.41
657.50	180894525379604.47
658.50	181054691715748.12
659.50	181310296865283.38
660.50	181568810355545.03
661.50	181811088352344.69
662.50	182042903781201.00
663.50	182266660538999.62
664.50	182463679357572.53
665.50	182660464358176.38
666.50	182836043372856.50
667.50	183007324945126.28
668.50	183120244101020.84
669.50	183152391545607.41
670.50	183183816720971.78
671.50	183067656042456.03
672.50	182947333995777.91
673.50	182815734892793.22
674.50	182673210705060.25
675.50	182529272735854.50
676.50	182378073873284.28
677.50	182225629149836.81
678.50	182063643159880.56
679.50	181892718273724.25
680.50	181720500503247.31
681.50	181544029390218.34
682.50	181366256704803.56
683.50	181185685409596.16
684.50	181001900053569.00
685.50	180816803169463.94
686.50	180614112876735.91
687.50	180407627152830.25
688.50	180197340208099.22
689.50	179979086597130.16
690.50	179759440736290.50
691.50	179544458347296.25
692.50	179331366711911.31
693.50	179116988265744.00
694.50	178909026787015.44
695.50	178699722641037.72
696.50	178492068109325.12
697.50	178288896388791.28
698.50	178084407272589.09
699.50	177886470410147.38
700.50	177691482214264.09
701.50	177495211239304.16
702.50	177302859948746.25
703.50	177109573235233.06
704.50	176912884943431.91
705.50	176706373226327.12
706.50	176498564187953.62
707.50	176287246178024.84
708.50	176071688728562.38
709.50	175854819418261.47
710.50	175638926280086.88
711.50	175422961473466.91
712.50	175205694714666.44
713.50	174978406253325.09
714.50	174748002921534.84
715.50	174516268189145.53
716.50	174301849431422.62
717.50	174086339944603.59
718.50	173873704573758.94
719.50	173687633370066.84
720.50	173500372266118.59
721.50	173315707419436.00
722.50	173141869284017.50
723.50	172966884978505.88
724.50	172788016881308.44
725.50	172602169581260.84
726.50	172415152494646.72
727.50	172236171248259.22
728.50	172071085875388.34
729.50	171904897314806.44
730.50	171748250898819.75
731.50	171605870303705.66
732.50	171462457607054.91
733.50	171312010946102.69
734.50	171152216232300.50
735.50	170991350452682.25
736.50	170833369821605.59
737.50	170680271246996.69
738.50	170526128464781.78
739.50	170384824367643.38
740.50	170268330989375.22
741.50	170150900679789.62
742.50	170041949608942.28
743.50	169956332589025.75
744.50	169869869221438.34
745.50	169780871750077.03
746.50	169682772128940.03
747.50	169583799525720.09
748.50	169483316828395.88
749.50	169366648329664.47
750.50	169249064289596.88
751.50	169130564708193.06
752.50	169014198575590.47
753.50	168897302347543.62
754.50	168779499683360.94
755.50	168648167819873.62
756.50	168510479188455.91
757.50	168371836384254.16
758.50	168223674436486.62
759.50	168065609417656.28
760.50	167906544136306.31
761.50	167745827850960.56
762.50	167582046206567.34
763.50	167417257178386.56
764.50	167251460766418.16
765.50	167103764596691.81
766.50	166955702694621.94
767.50	166806684874691.44
768.50	166676433563379.75
769.50	166555004332478.09
770.50	166432695791282.31
771.50	166307427624310.81
772.50	166177406303393.75
773.50	166046490263864.88
774.50	165914679505724.31
775.50	165775780962297.44
776.50	165635909091561.00
777.50	165495126369078.34
778.50	165354705183461.34
779.50	165214225763600.78
780.50	165072840940029.16
781.50	164928527443063.72
782.50	164774666809221.53
783.50	164619873519492.22
784.50	164464147573875.62
785.50	164287204830468.09
786.50	164102141851033.44
787.50	163916076423216.22
788.50	163725896408542.28
789.50	163526281080072.06
790.50	163325634066849.47
791.50	163123955368874.44
792.50	162941872604656.00
793.50	162764979483963.31
794.50	162587122285117.50
795.50	162410882399691.72
796.50	162242337839818.06
797.50	162072857419117.78
798.50	161902441137590.91
799.50	161717142300420.94
800.50	161523994854331.44
801.50	161329859474963.97
802.50	161136237288195.69
803.50	160958915368321.38
804.50	160780652279215.16
805.50	160601448020877.00
806.50	160431493234563.78
807.50	160273093222052.03
808.50	160113808198695.16
809.50	159953638164493.09
810.50	159785455406457.75
811.50	159614585922341.72
812.50	159442809441837.75
813.50	159268434723817.47
814.50	159079448352504.44
815.50	158889517185370.50
816.50	158698641222415.59
817.50	158516348593356.28
818.50	158347444156266.62
819.50	158177653199378.72
820.50	158006975722692.62
821.50	157853580814040.66
822.50	157709138883645.47
823.50	157563878485656.16
824.50	157417799620072.66
825.50	157253628370585.53
826.50	157086238415202.00
827.50	156917982434500.94
828.50	156744522985517.41
829.50	156512491458011.69
830.50	156279444325294.78
831.50	156045381587366.66
832.50	155804572218890.12
833.50	155544563430375.81
834.50	155283481669029.34
835.50	155021326934850.78
836.50	154766777457460.97
837.50	154525969865783.25
838.50	154284145379395.66
839.50	154041303998298.12
840.50	153773213884175.75
841.50	153476691439604.09
842.50	153179029418340.91
843.50	152880227820386.09
844.50	152565472884164.78
845.50	152236909215380.91
846.50	151907141001541.19
847.50	151576168242645.66
848.50	151286478197406.47
849.50	151026486649510.84
850.50	150765463223369.84
851.50	150503407918983.44
852.50	150294265628092.56
853.50	150121749117216.75
854.50	149948415231368.09
855.50	149774263970546.53
856.50	149632259046046.78
857.50	149514410114479.06
858.50	149395878848387.78
859.50	149276665247773.06
860.50	149166104328771.69
861.50	149063862131981.75
862.50	148960980143267.25
863.50	148857458362628.25
864.50	148781663658309.75
865.50	148742940877273.41
866.50	148703730923077.28
867.50	148664033795721.28
868.50	148643668092137.72
869.50	148665023863653.59
870.50	148686035082885.66
871.50	148706701749833.88
872.50	148721748535989.12
873.50	148710653141965.78
874.50	148699142063637.56
875.50	148687215301004.53
876.50	148674872854066.72
877.50	148620215621346.78
878.50	148565047207794.41
879.50	148509367613409.62
880.50	148453176838192.47
881.50	148401102726847.25
882.50	148349759516728.31
883.50	148297918416829.22
884.50	148245579427149.91
885.50	148182436198497.88
886.50	148110664811296.78
887.50	148038353966399.06
888.50	147965503663804.78
889.50	147880832750609.19
890.50	147767946589759.59
891.50	147654433505159.94
892.50	147540293496810.31
893.50	147425526564710.69
894.50	147291836587433.28
895.50	147157478778364.72
896.50	147022453137504.88
897.50	146886759664853.88
898.50	146737602615203.00
899.50	146581439854995.12
900.50	146424566751861.59
901.50	146266983305802.28
902.50	146111994955915.31
903.50	145963669007942.38
904.50	145814656346310.81
905.50	145664956971020.59
906.50	145514570882071.72
907.50	145374824324734.41
908.50	145235269467653.75
909.50	145095054737153.22
910.50	144954180133232.91
911.50	144810312902383.66
912.50	144663536947757.31
913.50	144516091083448.94
914.50	144367975309458.56
915.50	144218402569236.81
916.50	144057690169743.59
917.50	143896283297673.72
918.50	143734181953027.25
919.50	143571386135804.19
920.50	143420907752027.56
921.50	143278815162152.94
922.50	143136076017307.38
923.50	142992690317490.84
924.50	142849202966663.28
925.50	142710585783684.38
926.50	142571335143600.28
927.50	142431451046411.00
928.50	142290933492116.53
929.50	142142742096941.06
930.50	141988364414499.56
931.50	141833326223605.06
932.50	141677627524257.62
933.50	141521268316457.19
934.50	141355057292192.84
935.50	141188166088404.34
936.50	141020594705091.69
937.50	140852343142254.84
938.50	140696989077203.36
939.50	140560543195262.45
940.50	140423487706596.80
941.50	140285822611206.34
942.50	140147547909091.20
943.50	140034708014979.92
944.50	139927831726923.20
945.50	139820414842249.69
946.50	139712457360959.25
947.50	139597041469132.75
948.50	139441828059871.53
949.50	139285976705688.48
950.50	139129487406583.69
951.50	138972360162557.16
952.50	138814594973608.84
953.50	138690256802626.53
954.50	138576120777857.52
955.50	138461440824568.58
956.50	138346216942759.77
957.50	138234169984438.14
958.50	138159248109534.59
959.50	138083868661829.28
960.50	138008031641322.28
961.50	137931737048013.53
962.50	137859904935231.80
963.50	137795328936454.08
