# AU: 0.72333199
# Source data: solarmin_20081029_SORCE_and_TIMED.dat
# File creation date: July 30, 2024

# wavelength (nm)	photon flux (phot/s/cm^2/nm)
385.50	360697548945661.00
386.50	373046186616145.75
387.50	380516411814295.75
388.50	398165970010259.81
389.50	430789661419995.38
390.50	450925994829240.56
391.50	431886838310303.50
392.50	388523305730369.62
393.50	363408938256435.38
394.50	369797009282342.75
395.50	388654854615741.69
396.50	409644604038674.12
397.50	453029310833746.50
398.50	524345293053766.38
399.50	597305529895578.50
400.50	648595726691921.12
401.50	670473865661453.00
402.50	675711798118150.88
403.50	671824640569429.12
404.50	663002786697215.25
405.50	655090690490415.00
406.50	656063946200346.25
407.50	660327080818101.00
408.50	668045842578421.25
409.50	676667816180005.50
410.50	683283623842416.25
411.50	696659285669161.25
412.50	705100830666000.12
413.50	712732870815539.75
414.50	716160545849781.00
415.50	713701392567616.62
416.50	712305662368165.75
417.50	706278634435257.88
418.50	705943880776865.88
419.50	706749082209569.50
420.50	708184694106762.38
421.50	711269776306477.12
422.50	707367462432800.12
423.50	704460261221788.38
424.50	700707918006427.00
425.50	695269235890133.88
426.50	686863009990230.38
427.50	666335397581958.50
428.50	645220318696377.75
429.50	629819475300056.75
430.50	627772250831873.88
431.50	645340022264773.12
432.50	673284981302726.38
433.50	702528008161291.50
434.50	727463439704612.50
435.50	742131456466450.12
436.50	749727280283562.12
437.50	750972042249364.25
438.50	754325757327401.25
439.50	763312945164130.50
440.50	776986810609569.50
441.50	795544663968525.12
442.50	812005651098995.75
443.50	822952867675552.75
444.50	831418425712483.62
445.50	837703139452684.12
446.50	847229207220972.25
447.50	862514864703013.38
448.50	876690886326787.62
449.50	887310308467425.62
450.50	895261213711485.50
451.50	896247833930545.62
452.50	893105900824221.50
453.50	892086086461271.88
454.50	893897144807963.38
455.50	896879336626439.88
456.50	902223793434426.25
457.50	908426577616170.88
458.50	913415568140674.62
459.50	917573262796197.38
460.50	921944968242457.50
461.50	925004096134759.75
462.50	925992250989740.00
463.50	924453244030944.25
464.50	921304257037151.75
465.50	917796120298924.75
466.50	913625220589893.12
467.50	912043174923175.88
468.50	913475148415211.62
469.50	916182911042209.00
470.50	920745789070766.12
471.50	927290662993364.62
472.50	934100488600252.00
473.50	940296871984566.00
474.50	946601640269189.50
475.50	952705110837674.00
476.50	957979002347118.38
477.50	963202022464901.12
478.50	967901450040987.25
479.50	970302020940012.75
480.50	969634812926065.38
481.50	962220319523610.88
482.50	950886991810286.75
483.50	937161346905565.50
484.50	923337608427284.50
485.50	911885085446691.38
486.50	904998784445341.12
487.50	904887503146557.50
488.50	910019590900812.50
489.50	918038352165452.25
490.50	926778552529830.50
491.50	935316834188739.62
492.50	942659233933077.50
493.50	947405028864189.50
494.50	950665570418180.12
495.50	951212262764123.12
496.50	949717044843644.62
497.50	947659411850495.75
498.50	944525648384944.00
499.50	941396157642537.50
500.50	939439469353444.88
501.50	939023202926569.88
502.50	940694249894261.88
503.50	943977284309654.12
504.50	948313572805071.88
505.50	952769487571723.38
506.50	956521650209271.12
507.50	958531246134414.62
508.50	959016502348622.38
509.50	958122696817878.38
510.50	955222364506676.38
511.50	948748599027995.50
512.50	939598337537545.75
513.50	930675572494573.75
514.50	922612996625538.38
515.50	915553668321666.25
516.50	909901519407223.75
517.50	906710417436937.25
518.50	910355335442348.62
519.50	916561601751891.00
520.50	923196795628457.25
521.50	929831148232221.12
522.50	936945056199273.62
523.50	944780030683736.88
524.50	951875775123952.12
525.50	956941970272928.50
526.50	960471154680113.38
527.50	964141123432072.62
528.50	970008192906669.38
529.50	975234141080904.75
530.50	979485155068201.50
531.50	982610160238021.62
532.50	984784340880316.00
533.50	986451900961519.25
534.50	987332105512188.12
535.50	987244288220816.00
536.50	985978380665251.38
537.50	984631001830970.00
538.50	983582623490286.62
539.50	983155121445293.12
540.50	983303280240800.38
541.50	984061965983454.25
542.50	985372506111355.12
543.50	987253436729999.62
544.50	989515228919940.12
545.50	991650006354117.50
546.50	993444197037204.50
547.50	995759449222009.50
548.50	997690130104338.38
549.50	999188919827326.25
550.50	999787313986565.62
551.50	999597046159531.25
552.50	998966972567433.50
553.50	998374032063036.88
554.50	997714613853819.50
555.50	996937570326373.62
556.50	995834968127902.25
557.50	994772399445812.62
558.50	993965976935157.00
559.50	994134980845715.00
560.50	994921671091086.50
561.50	995952748690535.88
562.50	996698172798176.75
563.50	997924864789662.88
564.50	999501178007240.38
565.50	1001742776713613.75
566.50	1003979290694915.50
567.50	1006209820913019.75
568.50	1008225236427698.25
569.50	1010179338174123.88
570.50	1012047418756165.25
571.50	1014146965470944.62
572.50	1016347426089131.00
573.50	1018492802047142.50
574.50	1020360709584107.38
575.50	1021873535502427.75
576.50	1022971484678506.50
577.50	1023935983115103.50
578.50	1024757777192758.12
579.50	1024935831642894.12
580.50	1024355255954360.88
581.50	1023385164058437.75
582.50	1022275074164084.00
583.50	1020892173158099.00
584.50	1019466287227767.12
585.50	1017974564410851.50
586.50	1016600923326167.50
587.50	1015289431550682.50
588.50	1014529511723944.12
589.50	1013988684920926.25
590.50	1014415802071011.12
591.50	1014903881790424.75
592.50	1015490177270567.50
593.50	1016133295978763.25
594.50	1016813298376855.75
595.50	1017519836854456.50
596.50	1018230054742042.88
597.50	1018803759503171.50
598.50	1019257378669799.88
599.50	1019138087936437.38
600.50	1018841565327627.38
601.50	1018190323262045.12
602.50	1017486370476082.50
603.50	1016723741453047.50
604.50	1015570906077034.25
605.50	1014153539645018.25
606.50	1012317416468813.50
607.50	1010310582165996.00
608.50	1008366578636296.25
609.50	1006428325188951.25
610.50	1004757415449182.88
611.50	1003106688879255.50
612.50	1001390113091297.75
613.50	999662538482993.00
614.50	998148202892093.50
615.50	996666965243109.00
616.50	996217244200575.75
617.50	995806210177719.88
618.50	996101015627395.62
619.50	996369520288621.62
620.50	996287851202703.88
621.50	996197877400158.50
622.50	996033757938183.88
623.50	995865487987052.88
624.50	995842927399443.38
625.50	995815179370066.62
626.50	995932808677723.00
627.50	996052014743404.50
628.50	995685506705504.62
629.50	995253233778885.25
630.50	994685063930061.75
631.50	994077652752842.88
632.50	993613552401493.50
633.50	993210608749151.12
634.50	992839914519671.00
635.50	992492185269848.75
636.50	991933952370519.25
637.50	991097570983519.75
638.50	990265244551952.38
639.50	989456766835192.25
640.50	988652165307609.75
641.50	987954199125539.50
642.50	987249244543526.25
643.50	985335134334086.88
644.50	983261486021523.62
645.50	981068788152095.50
646.50	978813731843794.50
647.50	976635962177376.00
648.50	974560191901618.88
649.50	972534747990605.75
650.50	970760514432416.38
651.50	968976222172682.38
652.50	967344996004097.00
653.50	965720369079830.12
654.50	964588803053841.62
655.50	963757761009216.62
656.50	963439887028046.75
657.50	964332215201028.12
658.50	965222793680808.88
659.50	966573277607413.62
660.50	967937711500152.12
661.50	969229489560117.25
662.50	970474416363366.62
663.50	971677940984456.62
664.50	972744091201116.50
665.50	973809042552637.75
666.50	974753945134844.75
667.50	975674620170447.88
668.50	976296368825966.12
669.50	976504429220984.75
670.50	976708748412179.38
671.50	976081480610293.50
672.50	975431085971425.12
673.50	974718441070155.88
674.50	973945495561372.00
675.50	973166267275924.50
676.50	972390185187582.00
677.50	971607549536089.25
678.50	970762908241807.88
679.50	969860287953682.62
680.50	968950799766033.50
681.50	968004459395336.88
682.50	967051163130153.38
683.50	966094193241098.00
684.50	965134460609015.50
685.50	964167793910408.00
686.50	963094177321283.62
687.50	961998368623754.38
688.50	960879709254029.88
689.50	959711546182496.25
690.50	958535946486446.38
691.50	957366062547199.62
692.50	956195872316642.88
693.50	955018918599367.88
694.50	953895523126958.25
695.50	952764926803371.12
696.50	951649551278230.75
697.50	950570626154504.00
698.50	949484689543644.00
699.50	948426734932513.62
700.50	947380738471187.50
701.50	946327884450201.25
702.50	945321697401587.62
703.50	944312226499101.62
704.50	943277056924168.88
705.50	942159017165341.38
706.50	941034012215878.75
707.50	939904906211868.12
708.50	938772645125514.00
709.50	937633437677589.62
710.50	936474606345459.12
711.50	935301956999392.88
712.50	934122306389909.88
713.50	932931607626249.50
714.50	931733066212448.12
715.50	930527509868034.50
716.50	929369300124058.00
717.50	928204777064103.38
718.50	927057322233208.75
719.50	926063441400296.38
720.50	925063211301213.50
721.50	924070433401197.88
722.50	923115109707320.12
723.50	922153596154354.62
724.50	921185390553962.38
725.50	920209925085010.75
726.50	919228265424773.88
727.50	918277520262467.00
728.50	917381311906385.38
729.50	916479177824848.00
730.50	915620587222286.75
731.50	914827491175542.38
732.50	914028799743099.00
733.50	913204630583415.75
734.50	912347317826630.88
735.50	911484280607368.88
736.50	910631706948503.00
737.50	909797767790296.00
738.50	908958214067933.88
739.50	908192437829883.88
740.50	907568903502757.00
741.50	906940368092000.62
742.50	906346748413667.62
743.50	905851016653083.88
744.50	905350667809024.62
745.50	904845546905486.88
746.50	904335050840212.50
747.50	903819935245792.50
748.50	903295274671997.38
749.50	902647612672438.12
750.50	901995002122341.62
751.50	901337443021708.00
752.50	900730434375144.88
753.50	900125493226759.12
754.50	899515769264532.75
755.50	898818849166243.75
756.50	898081561339432.38
757.50	897339179028847.25
758.50	896549585531105.25
759.50	895710892951790.25
760.50	894866879250715.62
761.50	894013854826629.25
762.50	893143800510076.25
763.50	892268384695300.38
764.50	891387607382301.50
765.50	890591825057501.62
766.50	889793715487394.88
767.50	888990487792068.38
768.50	888273138815404.38
769.50	887595786191855.25
770.50	886913668900952.00
771.50	886230349788570.88
772.50	885548900535185.75
773.50	884862713003454.12
774.50	884171787193375.75
775.50	883432118982161.50
776.50	882687153947540.88
777.50	881937336002443.00
778.50	881180488297483.75
779.50	880417328992565.00
