# AU: 0.72333199
# Source data: solarmax_20150604_and_20020322_SORCE_and_TIMED.dat
# File creation date: July 30, 2024

# wavelength (nm)	photon flux (phot/s/cm^2/nm)
618.50	997116623687187.25
619.50	997372652893511.62
620.50	997323319851884.00
621.50	997263408283898.25
622.50	997072403207224.75
623.50	996877249204306.50
624.50	996836979431566.88
625.50	996791460305457.88
626.50	996933620792485.75
627.50	997079199358764.25
628.50	996751283586856.12
629.50	996359223460658.62
630.50	995766968087051.00
631.50	995119258692388.25
632.50	994675234633344.00
633.50	994319653080643.75
634.50	993949097374290.00
635.50	993565711642928.25
636.50	993021317919300.25
637.50	992264683776545.25
638.50	991485771261161.00
639.50	990658897033735.62
640.50	989836733902264.50
641.50	989130243607345.12
642.50	988416732570919.12
643.50	986558112530319.88
644.50	984548053382204.25
645.50	982361484520900.50
646.50	980085397837184.62
647.50	977889493605313.75
648.50	975799308770199.00
649.50	973751738670224.88
650.50	971922593697952.25
651.50	970083215434899.88
652.50	968520113790482.25
653.50	966976036618507.12
654.50	965906297797719.75
655.50	965125625435007.50
656.50	964792618142226.88
657.50	965516342626608.00
658.50	966237798287117.25
659.50	967639941929110.88
660.50	969063042285637.25
661.50	970402444491080.62
662.50	971687953151065.50
663.50	972918203044983.38
664.50	973964301405407.38
665.50	975009134922879.50
666.50	975920513711262.62
667.50	976805014183954.38
668.50	977415831359940.00
669.50	977647991302207.62
670.50	977876477030818.25
671.50	977184796624697.12
672.50	976467980548685.25
673.50	975730800678196.62
674.50	974973741151058.62
675.50	974210545010670.75
676.50	973453889992653.00
677.50	972690734275158.00
678.50	971847280661091.25
679.50	970928887928838.12
680.50	970003576169364.62
681.50	969053919557192.00
682.50	968097292778179.25
683.50	967135861304649.75
684.50	966170226088657.00
685.50	965197635106783.25
686.50	964074194004156.25
687.50	962921845148400.12
688.50	961777773655210.25
689.50	960668860557350.62
690.50	959552678915018.75
691.50	958392493283687.25
692.50	957205123629947.50
693.50	956011081038459.50
694.50	954884864532849.50
695.50	953751434932166.25
696.50	952639065148470.38
697.50	951574524964889.12
698.50	950503010467638.12
699.50	949449451037867.75
