# from Cheng 1999, https://web.archive.org/web/20010303004339/http://ams-bmc.srrc.gov.tw:80/database.htm
# aka http://140.110.206.16/wp-content/uploads/2014/02/H2O-HOD-and-D2O.pdf
#wavelength	H2O	 HDO		D2O
#  nm	cm2/molecule	 cm2/molecule	cm2/molecule
192.4	2.07E-21	7.00E-22	1.99E-22
192.6	1.86E-21	5.48E-22	1.85E-22
192.8	1.68E-21	5.58E-22	1.74E-22
193.0	1.62E-21	5.15E-22	1.60E-22
193.2	1.34E-21	4.57E-22	1.50E-22
193.4	1.18E-21	4.23E-22	1.24E-22
193.6	1.04E-21	3.97E-22	1.14E-22
193.8	9.66E-22	3.55E-22	1.09E-22
194.0	9.48E-22	3.20E-22	9.50E-23
194.2	8.98E-22	3.03E-22	8.66E-23
194.4	8.44E-22	2.46E-22	7.40E-23
194.6	7.44E-22	2.29E-22	6.22E-23
194.8	6.99E-22	2.10E-22	5.78E-23
195.0	5.81E-22	1.94E-22	5.59E-23
195.2	5.00E-22	0  0	  
195.4	4.45E-22	0  0	  
195.6	3.98E-22	0  0	  
195.8	3.81E-22	0  0	  
196.0	3.68E-22 0  0 

 
