# from Cheng 1999, https://web.archive.org/web/20010303004339/http://ams-bmc.srrc.gov.tw:80/database.htm
# aka http://140.110.206.16/wp-content/uploads/2014/02/H2O-HOD-and-D2O.pdf
#λ	 H2O		HDO	 	D2O
# nm cm2/molecule cm2/molecule cm2/molecule
177.6	2.2E-18	 	6.54E-19	 1.51E-18
177.8	2.07E-18	5.69E-19	 1.24E-18
178	1.96E-18	4.98E-19	 1.09E-18
178.2	1.81E-18	4.09E-19	 1.17E-18
178.4	1.7E-18	 	3.57E-19	 8.47E-19
178.6	1.58E-18	3.33E-19	 7.94E-19
178.8	1.44E-18	2.92E-19	 8.26E-19
179	1.34E-18	2.65E-19	 6.37E-19
179.2	1.23E-18	2.16E-19	 6.59E-19
179.4	1.13E-18	1.84E-19	 4.38E-19
179.6	1.03E-18	1.75E-19	 4.21E-19
179.8	9.4E-19	 	1.56E-19	 3.95E-19
180	8.42E-19	1.24E-19	 4.04E-19
180.2	7.62E-19	1.07E-19	 2.44E-19
180.4	6.94E-19	6.42E-20	 3.18E-19
180.6	6.28E-19	6.98E-20	 2.3E-19
180.8	5.57E-19	6.83E-20	 1.7E-19
181	5.04E-19	5.6E-20	 	1.5E-19
181.2	4.52E-19	4.69E-20	 1.92E-19
181.4	4.03E-19	3.93E-20	 1.71E-19
181.6	3.63E-19	2.25E-20	 2.15E-19
181.8	3.3E-19	 	2.89E-20	 5.2E-20
#182	2.96E-19		0	0 
#182.2	2.69E-19	0	0	 
#182.4	2.47E-19	0	0	 
#182.6	2.23E-19	0	0	 
#182.8	1.93E-19	0	0	 
#183	1.77E-19		0	0 
#183.2	1.61E-19	0	0	 
#183.4	1.37E-19	0	0	 
#183.6	1.25E-19	0	0	 
#183.8	1.2E-19		0	0 
#184	1.03E-19		0	0 
#184.2	9.97E-20	0	0	 
#184.4	8.42E-20	0	0	 
#184.6	7.89E-20	0	0	 
#184.8	6.55E-20	0	0	 
#185	6.37E-20		0	0 
#185.2	5.52E-20	0	0	 
#185.4	5.36E-20	0	0	 
#185.6	4.64E-20	0	0	 
#185.8	4.22E-20	0	0	 
#186	3.68E-20		0	0 
#186.2	3.5E-20		0	0 
#186.4	2.96E-20	0	0	 
#186.6	2.65E-20	0	0	 
#186.8	2.28E-20	0	0	 
#187	2E-20		0	0
#187.2	1.94E-20	0	0	
#187.4	1.69E-20	0	0	
#187.6	1.44E-20	0	0	
#187.8	1.27E-20	0	0	
#188	1.17E-20		0	0
#188.2	1.09E-20	0	0	
#188.4	1.06E-20	0	0	
#188.6	9.41E-21	0	0	
#188.8	8.19E-21	0	0	
#189	7.9E-21		0	0
#189.2	7.34E-21	0	0	
#189.4	5.95E-21	0	0	
#189.6	5.61E-21	0	0	
#189.8	4.58E-21	0	0	
