#Mars-scaled Solar Photon Irradiance from LISIRD...http://lasp.colorado.edu/lisird/whi_ref_spectra/
# using SORCE solstice and SORCE solar spectral irradiance
# interpolated to half-wavelengths by Eryn 2/18/19
#Wavelength [nm]	Spectral Irradiance [ph/cm2/s/nm]
503.5	185360811036812.5
504.5	186182923435446.3
505.5	187091657369061.8
506.5	187834880137754.03
507.5	188233589806350.6
508.5	188322301045883.38
509.5	188149982256420.06
510.5	187605755644236.44
511.5	186284668376316.0
512.5	184479128086863.53
513.5	182744856096507.2
514.5	181171061161729.03
515.5	179769250358134.7
516.5	178640861419639.94
517.5	178058050050781.25
518.5	178799316243696.56
519.5	180040130965875.25
520.5	181348985070608.72
521.5	182649777772262.8
522.5	184050497829737.44
523.5	185570060266811.2
524.5	186945444076258.38
525.5	187943442402770.75
526.5	188658262656479.78
527.5	189400090332400.9
528.5	190534986991252.0
529.5	191574567450066.88
530.5	192419535537229.78
531.5	193016099513986.44
532.5	193452522230375.62
533.5	193773203999846.06
534.5	193946643676821.5
535.5	193945130757548.84
536.5	193656824134566.44
537.5	193394723599118.0
538.5	193197874437174.12
539.5	193102327735480.62
540.5	193153146988066.16
541.5	193327703174062.4
542.5	193601455762228.06
543.5	193945542752954.03
544.5	194394840284132.06
545.5	194830965800031.2
546.5	195207888421382.38
547.5	195644436697652.5
548.5	196012180818717.06
549.5	196302568542426.06
550.5	196419302414192.3
551.5	196395228347910.7
552.5	196290529451356.75
553.5	196178895830979.8
554.5	196050825298160.1
555.5	195901005830542.4
556.5	195695869269766.03
557.5	195476049331615.47
558.5	195303369002936.97
559.5	195343236855462.2
560.5	195501601338931.56
561.5	195709942834625.22
562.5	195882741094110.25
563.5	196128580040325.8
564.5	196428891266364.9
565.5	196867886220480.1
566.5	197308323528165.88
567.5	197750387319665.3
568.5	198152399096159.9
569.5	198538422452639.22
570.5	198897421321571.88
571.5	199302947841518.88
572.5	199729216408636.34
573.5	200153336940180.94
574.5	200528212023554.38
575.5	200840411081982.75
576.5	201057003787094.16
577.5	201243981412612.97
578.5	201402846443653.2
579.5	201446255016570.94
580.5	201354127747344.88
581.5	201152136129936.88
582.5	200917154714067.34
583.5	200659145488839.4
584.5	200388445160343.22
585.5	200096135656011.84
586.5	199839005164363.8
587.5	199601662867350.12
588.5	199465461789923.84
589.5	199367598797485.3
590.5	199430301412662.72
591.5	199513702089113.75
592.5	199629476656274.7
593.5	199761107055419.9
594.5	199903308009221.3
595.5	200051274838941.34
596.5	200200594158074.4
597.5	200292951549035.06
598.5	200368254346569.12
599.5	200360290599726.1
600.5	200313152083221.53
601.5	200186476913161.84
602.5	200045085306224.66
603.5	199887098568340.56
604.5	199661174058883.0
605.5	199389957701709.8
606.5	199027461731850.34
607.5	198629468134835.1
608.5	198246263021772.34
609.5	197866526812352.75
610.5	197529528227308.5
611.5	197197278267194.84
612.5	196860231261877.5
613.5	196523489325244.28
614.5	196236736999805.62
615.5	195957992396539.8
616.5	195871433125421.97
617.5	195792878478838.78
618.5	195839729616632.34
619.5	195883971502599.12
620.5	195887335109946.16
621.5	195888467386584.75
622.5	195836047726220.66
623.5	195784178363162.78
624.5	195786788433419.88
625.5	195789398503676.97
626.5	195821928668147.7
627.5	195855705503210.66
628.5	195781868307163.56
629.5	195694730500529.78
630.5	195580274632341.0
631.5	195458989248763.44
632.5	195367636713559.8
633.5	195289732269654.6
634.5	195210382419565.88
635.5	195129942175338.72
636.5	195019669522430.1
637.5	194869851583594.84
638.5	194717444524621.06
639.5	194558037251939.38
640.5	194399905021481.16
641.5	194254664884615.56
642.5	194109424747749.97
643.5	193746178473869.47
644.5	193355987621256.78
645.5	192926806938959.12
646.5	192479278101515.66
647.5	192052716674312.1
648.5	191652841041959.34
649.5	191260630383559.78
650.5	190901096719381.53
651.5	190541563055203.3
652.5	190228849545677.72
653.5	189920766600898.0
654.5	189707692745776.94
655.5	189552850268188.62
656.5	189493985261373.44
657.5	189659067686362.34
658.5	189824150111351.25
659.5	190101392854706.2
660.5	190382104473886.9
661.5	190637472847863.3
662.5	190876638163430.4
663.5	191109321426523.66
664.5	191320303905247.97
665.5	191531286383972.28
666.5	191709792941718.88
667.5	191882113609755.44
668.5	191998481745823.38
669.5	192037582099648.94
670.5	192076682453474.5
671.5	191944891641567.53
672.5	191809613254849.72
673.5	191667668062227.12
674.5	191519317507068.53
675.5	191370844322635.06
676.5	191218406124979.72
677.5	191065967927324.38
678.5	190898764260839.9
679.5	190717930930820.8
680.5	190537097600801.72
681.5	190349268761268.56
682.5	190161439921735.4
683.5	189970471172987.34
684.5	189775506176147.56
685.5	189580541179307.78
686.5	189365914630088.84
687.5	189148350147755.75
688.5	188928353603869.72
689.5	188701781486155.4
690.5	188475209368441.1
691.5	188250267056431.72
692.5	188026202332109.6
693.5	187802194117634.25
694.5	187583780377990.6
695.5	187365366638346.97
696.5	187147857815489.66
697.5	186932105595805.88
698.5	186716353376122.1
699.5	186505323840182.84
700.5	186296837287798.34
701.5	186088350735413.84
702.5	185888583904226.78
703.5	185689373650988.47
704.5	185486699907731.06
705.5	185270172204397.2
