# λ (nm)	photon flux (γ/s/cm^2/nm)
440.5	175032645880039.44
441.5	179213193259889.34
442.5	182921377352465.06
443.5	185387468483295.66
444.5	187294513753333.8
445.5	188710277907274.78
446.5	190856225333342.3
447.5	194299641664951.2
448.5	197493089145630.1
449.5	199885337674964.44
450.5	201676446562536.78
451.5	201898703549480.2
452.5	201190916934226.66
453.5	200961182267156.16
454.5	201369161308674.06
455.5	202040962833979.53
456.5	203244914307955.7
457.5	204642222103054.38
458.5	205766097308978.75
459.5	206702705609635.1
460.5	207687524348922.03
461.5	208376657345471.9
462.5	208599260041482.56
463.5	208252566305697.7
464.5	207543190653705.7
465.5	206752908956492.44
466.5	205813325939376.16
467.5	205456936828045.78
468.5	205779519020843.2
469.5	206389499590071.4
470.5	207417383980463.7
471.5	208891754695617.7
472.5	210425811358716.03
473.5	211821677239364.28
474.5	213241959101874.2
475.5	214616894413600.66
476.5	215804949567661.9
477.5	216981544869174.16
478.5	218040189921486.75
479.5	218580969083168.28
480.5	218430666423665.0
481.5	216760395602628.1
482.5	214207324805026.75
483.5	211115334167246.88
484.5	208001245885736.7
485.5	205421323843401.72
486.5	203870039486789.44
487.5	203844971030160.44
488.5	205001081901348.94
489.5	206807476786905.78
490.5	208776391026387.7
491.5	210699818824158.72
492.5	212353849030092.47
493.5	213422939305826.94
494.5	214157444972337.62
495.5	214280598939028.12
496.5	213943769606515.66
497.5	213480244431927.0
498.5	212774298200346.28
499.5	212069314489656.62
500.5	211628529236000.0
501.5	211534756454928.2
502.5	211911194984065.5
503.5	212650767641406.34
504.5	213627607966477.9
505.5	214631396629004.94
506.5	215476650300308.56
507.5	215929354113455.25
508.5	216038668297354.78
509.5	215837319774043.8
510.5	215183958827076.4
511.5	213725606786774.22
512.5	211664317640937.66
513.5	209654276861980.22
514.5	207838011813853.25
515.5	206247749412625.06
516.5	204974483810308.44
517.5	204255620872732.9
518.5	205076715431599.9
519.5	206474807649334.12
520.5	207969524836658.44
521.5	209464052509563.06
522.5	211066610129612.53
523.5	212831603171569.47
