# λ (nm)	photon flux (γ/s/cm^2/nm)
776.5	198892086573466.03
777.5	198723037666247.56
778.5	198554422884829.28
779.5	198385738176966.5
780.5	198215966279530.72
781.5	198042677693199.44
782.5	197857925107397.1
783.5	197672052608186.66
784.5	197485060195568.06
785.5	197272591102160.84
786.5	197050371401558.9
787.5	196826947982200.66
788.5	196598583854213.38
789.5	196358890001538.3
790.5	196117957323694.2
791.5	195875785820680.9
792.5	195657144699301.6
793.5	195444735191797.9
794.5	195231168039695.62
795.5	195019542923245.62
796.5	194817158190504.2
797.5	194613649695931.4
798.5	194409017439527.12
799.5	194186514525959.06
800.5	193954587169265.9
801.5	193721473523246.16
802.5	193488976108014.94
803.5	193276051707548.62
804.5	193061997171030.4
805.5	192846812498460.22
806.5	192642734395720.5
807.5	192452531020289.94
808.5	192261264942607.2
809.5	192068936162672.25
810.5	191866985873904.66
811.5	191661809421443.6
812.5	191455543866956.88
813.5	191246158403968.03
814.5	191019227577611.9
815.5	190791162260472.75
816.5	190561962452550.47
817.5	190343069329921.28
818.5	190140252464251.72
819.5	189936371084411.12
820.5	189731425190399.56
821.5	189547231837527.78
822.5	189373789031058.1
823.5	189199363426060.72
824.5	189023955022535.6
825.5	188826821668150.34
826.5	188625823359992.06
827.5	188423785147000.4
828.5	188215498719658.47
829.5	187936880182714.72
830.5	187657042128573.88
831.5	187375984557235.94
832.5	187086825775028.5
833.5	186774612736450.88
834.5	186461111294853.62
835.5	186146321450236.84
836.5	185840663836667.9
837.5	185551507188002.8
838.5	185261129473738.0
839.5	184969530693873.34
840.5	184647613770906.84
841.5	184291555908573.84
842.5	183934129666719.56
843.5	183575335045343.94
844.5	183197383993741.06
845.5	182802851708954.1
846.5	182406873032011.97
847.5	182009447962914.66
848.5	181661594300787.94
849.5	181349401964379.53
850.5	181035970570459.72
851.5	180721300119028.53
852.5	180470166491941.38
853.5	180263012324679.9
854.5	180054876670887.16
855.5	179845759530563.1
856.5	179675243029084.88
857.5	179533732531581.56
858.5	179391402701254.4
859.5	179248253538103.47
860.5	179115494331514.38
861.5	178992724070120.34
862.5	178869185560153.03
863.5	178744878801612.47
864.5	178653866128238.66
865.5	178607368634063.12
866.5	178560286152690.03
867.5	178512618684119.28
868.5	178488163979203.62
869.5	178513807536693.5
870.5	178539037363108.78
871.5	178563853458449.44
872.5	178581921320129.03
873.5	178568598206314.16
874.5	178554775947602.5
875.5	178540454543994.06
876.5	178525633995488.88
877.5	178460002749694.28
878.5	178393757688798.03
879.5	178326898812800.12
880.5	178259426121700.62
881.5	178196896633265.94
882.5	178135244795521.7
883.5	178072995102289.44
884.5	178010147553569.1
885.5	177934326503843.47
886.5	177848144944331.44
887.5	177761315615459.03
888.5	177673838517226.2
889.5	177572167480493.16
890.5	177436616172810.03
891.5	177300312068384.66
892.5	177163255167217.0
893.5	177025445469307.16
894.5	176864913380097.22
895.5	176703579372636.8
896.5	176541443446925.88
897.5	176378505602964.53
898.5	176199400981298.2
899.5	176011884050983.0
900.5	175823514155948.72
901.5	175634291296195.22
902.5	175448184572884.66
903.5	175270077920485.88
904.5	175091146676890.72
905.5	174911390842099.16
906.5	174730810416111.16
907.5	174563005714022.6
908.5	174395431201536.38
909.5	174227064327043.16
910.5	174057905090543.1
911.5	173885152371099.03
912.5	173708906917836.2
913.5	173531857051235.66
914.5	173354002771297.44
915.5	173174398997210.22
916.5	172981418956536.97
917.5	172787605007923.16
918.5	172592957151368.88
919.5	172397475386874.03
920.5	172216784135214.38
921.5	172046162367013.3
922.5	171874764229316.28
923.5	171702589722123.28
924.5	171530293154552.2
925.5	171363844581239.7
926.5	171196635366070.6
927.5	171028665509044.97
928.5	170859935010162.72
929.5	170681989925909.38
930.5	170496616479115.34
931.5	170310449907780.06
932.5	170123490211903.53
933.5	169935737391485.72
934.5	169736154718810.75
935.5	169535755300989.44
936.5	169334539138021.78
937.5	169132506229907.9
938.5	168945960363584.4
939.5	168782119042506.0
940.5	168617545718602.03
941.5	168452240391872.38
942.5	168286203062317.2
943.5	168150707310752.12
944.5	168022372530852.0
945.5	167893388614000.16
946.5	167763755560196.62
947.5	167625166605210.88
948.5	167438789635377.1
949.5	167251646634811.78
950.5	167063737603514.88
951.5	166875062541486.53
952.5	166685621448726.62
953.5	166536318810168.16
954.5	166399266692399.62
955.5	166261561436800.9
956.5	166123203043371.97
957.5	165988659432285.28
958.5	165898694833960.62
959.5	165808180791920.53
960.5	165717117306165.06
961.5	165625504376694.22
962.5	165539249899192.9
963.5	165461708409488.72
964.5	165383648953368.9
965.5	165305071530833.34
966.5	165225976141882.0
