# λ (nm)	photon flux (γ/s/cm^2/nm)
479.5	182643113229442.97
480.5	182500583737659.34
481.5	181117147892760.47
482.5	178964677343024.12
483.5	176386727943952.53
484.5	173777186087829.34
485.5	171604023181775.84
486.5	170338965294313.3
487.5	170330150380343.47
488.5	171312677195966.6
489.5	172784455830460.88
490.5	174464754305473.06
491.5	176067598260286.44
492.5	177468363816727.16
493.5	178365279551063.6
494.5	178952380882854.7
495.5	179061685042340.94
496.5	178794797138912.9
497.5	178399372833935.25
498.5	177809750348922.12
499.5	177220641817996.56
500.5	176838903905472.84
501.5	176742682492457.66
502.5	177043124210992.53
503.5	177673491056433.66
504.5	178497537375856.12
505.5	179350432277590.78
506.5	180059343773906.5
507.5	180432856732554.5
508.5	180502073603117.6
509.5	180327234924578.5
510.5	179813867398663.97
511.5	178566442123039.7
512.5	176843247335103.84
513.5	175170060370827.84
514.5	173653714693365.28
515.5	172311195166154.1
516.5	171236626383849.6
517.5	170683842137564.12
518.5	171386099090320.6
519.5	172564862257679.62
520.5	173818661447079.22
521.5	175074453705877.78
522.5	176429677998982.25
523.5	177887535670289.56
524.5	179199214413344.1
525.5	180144780597007.22
526.5	180813434083315.6
527.5	181501119336885.88
528.5	182600818932965.03
529.5	183600959401767.03
530.5	184416980591327.8
531.5	185003484071673.28
532.5	185407556897622.5
533.5	185723153774148.06
534.5	185894489992997.5
535.5	185883312284313.9
536.5	185617179104390.06
537.5	185354454732867.03
538.5	185152429787713.5
539.5	185061188746570.03
540.5	185126533344450.88
541.5	185295569234318.1
542.5	185552902359893.7
543.5	185889659346967.94
544.5	186303563221899.84
545.5	186710074131564.88
546.5	187076407319814.06
547.5	187513393742752.5
548.5	187870831171756.78
549.5	188141445399005.28
550.5	188241326568965.06
551.5	188214133486009.3
552.5	188115265067576.97
553.5	188018597616016.53
554.5	187889203433482.6
555.5	187732512458261.7
556.5	187527938848786.8
557.5	187331238589907.38
558.5	187181298443453.3
559.5	187208558646423.2
560.5	187347632105359.75
561.5	187535695951808.4
562.5	187701438313731.06
563.5	187942458326982.16
564.5	188238842843715.72
565.5	188655782904323.94
566.5	189081075264181.28
567.5	189515792967366.75
568.5	189897309631553.94
569.5	190265067885481.47
570.5	190615053701442.75
571.5	191003378202972.5
572.5	191408436467088.66
573.5	191804617355432.75
574.5	192154683879204.25
575.5	192445736648642.2
576.5	192651782386099.53
577.5	192832713388333.84
578.5	192999212245515.66
579.5	193046843836885.25
580.5	192954388386618.62
581.5	192759756095975.34
582.5	192533699819429.84
