# wavelength (nm)	photon flux (γ/s/cm^2/nm)
242.50	4484110623110.15
243.50	4100730600857.63
244.50	3913424726369.61
245.50	3102687551119.17
246.50	3111572517635.88
247.50	3609315798487.98
248.50	2805704575530.99
249.50	3586852110677.06
250.50	3790039297211.42
251.50	2950678782454.93
252.50	2612394405231.29
253.50	3361491067471.25
254.50	3764122506510.47
255.50	5368592355027.08
256.50	6467662084176.62
257.50	8069965077246.36
258.50	8586617959449.73
259.50	7237554763008.35
260.50	5887485190062.66
261.50	5763809418612.96
262.50	7332299886903.06
263.50	10754600106966.30
264.50	16849986305351.54
265.50	17600696954636.90
266.50	17149465591716.28
267.50	17239014782337.78
268.50	17258427954314.64
269.50	15413898322616.10
270.50	19472407565692.84
271.50	16282908405102.25
272.50	12978921341417.69
273.50	14848618766240.51
274.50	8749047474091.01
275.50	12608596446409.64
276.50	17590745260011.72
277.50	17524497893356.16
278.50	11575855141800.82
279.50	5527462913395.74
280.50	6418237353717.79
281.50	15094895114662.80
282.50	21114406205938.57
283.50	23470056165863.19
284.50	18004269517063.97
285.50	9192727773951.67
286.50	24538062378999.62
287.50	26857011647863.57
288.50	22222631157073.49
289.50	33189953042481.64
290.50	44472418779338.69
291.50	41409754511974.86
292.50	36204398342174.61
293.50	41090784244931.70
294.50	37137522570202.92
295.50	41705283015620.24
296.50	37137495837082.59
297.50	39869331228623.16
298.50	29611635347072.73
299.50	41268881666297.16
300.50	27332177170785.91
301.50	37267287804377.98
302.50	36713850914649.95
303.50	48184300664953.10
304.50	45409722606576.88
305.50	47625610875574.37
306.50	43383106520241.88
307.50	50256073112463.67
308.50	50573709972673.27
309.50	38387048664887.75
310.50	50826524669101.35
311.50	58165212312562.81
312.50	54259456438035.27
313.50	56282245363621.05
314.50	55331827131217.62
315.50	51424849630952.95
316.50	53919802968872.59
317.50	61016643805622.21
318.50	56465594482571.35
319.50	59921810643075.93
320.50	63949735424567.58
321.50	60258057478702.48
322.50	57326386915751.02
323.50	57728086745512.82
324.50	64990187859326.91
325.50	75141922883416.88
326.50	82859176840415.27
327.50	81883279770786.97
328.50	82084103746463.91
329.50	88804996521447.89
330.50	88716170240018.52
331.50	84730687092891.95
332.50	83189825604481.81
333.50	82195445275763.52
334.50	84243936140935.16
335.50	82113470157557.47
336.50	75629733464010.58
337.50	76708148635819.67
338.50	82474343322791.27
339.50	87761319488156.53
340.50	89329178923221.22
341.50	88236777824764.17
342.50	89420907539763.75
343.50	85291856014822.12
344.50	80312295228788.95
345.50	83580850565716.58
346.50	86259112295779.38
347.50	85334118356446.86
348.50	84990073770521.09
349.50	88152948473506.02
350.50	93582482894894.55
351.50	93090154199834.55
352.50	91933387034649.00
353.50	97942021950392.86
354.50	103010911520166.86
355.50	99484169442900.08
356.50	89887645092091.84
357.50	79877991109996.77
358.50	79844558841817.27
359.50	89246400189460.14
360.50	93198241055535.67
361.50	92971300896400.62
362.50	95144597966982.70
363.50	98623739366954.30
364.50	104350765051803.86
365.50	112024228356470.62
366.50	117441135474965.22
367.50	117638155986658.30
368.50	116680022408805.42
369.50	118404409895028.67
370.50	117896221130030.62
371.50	114404159023541.23
372.50	106097299078591.69
373.50	99040496460225.56
374.50	97765886937507.36
375.50	103520089379915.86
376.50	114526441308434.59
377.50	123423687326480.00
378.50	125596507975060.38
379.50	122327307357806.39
380.50	116139824304510.47
381.50	104726604737472.20
382.50	92547248085030.19
383.50	87555200509768.14
384.50	92606137929832.62
385.50	99547479100963.33
386.50	102972014163524.20
387.50	104914951338113.17
388.50	109800307038340.36
389.50	118727651042504.00
390.50	124295416300214.39
391.50	118974700834660.20
392.50	106985361170681.78
393.50	100052919963819.95
394.50	101846869884969.47
395.50	107047224278284.19
396.50	112876100875061.73
397.50	124658980387084.69
398.50	144215932854723.62
399.50	164371543763196.53
400.50	178439472101351.38
401.50	184345303695443.69
402.50	185797478067297.53
403.50	184615813975837.56
404.50	182225364606347.38
405.50	179993592407267.31
406.50	180324659448612.75
407.50	181493957153298.78
408.50	183613390931206.78
409.50	185934298464489.78
410.50	187766190145402.78
411.50	191427509779214.94
412.50	193802043528723.22
413.50	195972819416797.94
414.50	196812771314883.25
415.50	196167772989907.69
416.50	195688649506417.31
417.50	194029890474189.69
418.50	193951062069063.22
419.50	194086051763705.94
420.50	194451072613885.75
421.50	195189829613738.69
422.50	194212303504369.16
423.50	193457613980814.75
424.50	192394637132552.50
425.50	190896132534351.91
426.50	188608661819874.88
427.50	182902793266012.38
428.50	177148413705819.47
429.50	173066213934405.53
430.50	172452085078503.34
431.50	177097406519316.41
432.50	184867083581219.78
433.50	192836404796523.34
434.50	199693488035878.53
435.50	203718539363748.44
436.50	205800903075505.84
437.50	206177638700040.03
438.50	207087859096251.66
439.50	209567777061161.09
440.50	213353390770868.84
441.50	218390903875821.28
442.50	222899913626814.78
443.50	225936323882933.44
444.50	228284924450520.94
445.50	230006955471856.62
446.50	232566346347205.59
447.50	236680170123901.41
448.50	240617073449085.19
449.50	243567245096831.44
450.50	245749087505970.22
451.50	245997714203349.53
452.50	245115350688202.31
453.50	244819082068854.41
454.50	245342367603448.81
455.50	246168675506428.53
456.50	247641437446990.66
457.50	249324531051935.19
458.50	250646978244708.56
459.50	251873522988036.31
460.50	253001547775975.75
461.50	253849706602200.72
462.50	254128678603276.22
463.50	253731899967766.69
464.50	252896719222521.28
465.50	251913334367484.97
466.50	250811958856396.47
467.50	250356833840033.44
468.50	250699708458608.00
469.50	251482004612523.38
470.50	252742780050570.84
471.50	254468916687741.56
472.50	256275491034060.28
473.50	257991329894618.12
474.50	259759663858662.16
475.50	261437056442435.16
476.50	262867758061427.94
477.50	264306835023960.19
478.50	265602499001207.41
479.50	266255991104306.06
480.50	266048212500309.31
481.50	264031448355744.78
482.50	260893590215849.22
483.50	257135471663608.59
484.50	253331297824557.72
485.50	250163274496705.66
486.50	248319081000028.28
487.50	248306230673432.09
488.50	249738552136063.22
489.50	251884101848201.22
490.50	254333630483060.78
491.50	256670246401550.22
492.50	258712273691494.44
493.50	260019791853883.59
494.50	260875664512921.81
495.50	261035007434761.19
496.50	260645939914040.03
497.50	260069492828973.66
498.50	259209944848495.84
499.50	258351146107080.72
500.50	257794650959555.44
501.50	257654379983908.88
502.50	258092362046977.94
503.50	259011306901916.84
504.50	260212596485817.31
505.50	261455941353049.75
506.50	262489388110057.53
507.50	263033892971131.56
508.50	263134796893250.78
509.50	262879918158352.50
510.50	262131534181556.09
511.50	260313045396420.97
512.50	257800982784176.38
513.50	255361821265305.09
514.50	253151301995945.44
515.50	251194185404062.47
516.50	249627685736578.12
517.50	248821840310713.66
518.50	249845586115633.09
519.50	251563979707666.06
520.50	253391760344541.22
521.50	255222446465553.00
522.50	257198083985900.50
523.50	259323339804746.06
524.50	261235496893875.91
525.50	262613937377803.03
526.50	263588696258959.03
527.50	264591199531705.78
528.50	266194334742740.19
529.50	267652333279098.22
530.50	268841923878748.53
531.50	269696924993678.84
532.50	270285979838666.47
533.50	270746054996513.62
534.50	270995827867525.31
535.50	270979533073534.97
536.50	270591565784030.03
537.50	270208567834147.06
538.50	269914057129371.31
539.50	269781046508770.84
540.50	269876305455929.88
541.50	270122724921701.12
542.50	270497863546873.50
543.50	270988785781877.88
544.50	271592172268744.50
545.50	272184781336963.84
546.50	272718819573539.22
547.50	273355855654896.62
548.50	273876925709138.16
549.50	274271425441479.31
550.50	274417031587969.50
551.50	274377389681272.06
552.50	274233259917640.91
553.50	274092338709785.56
554.50	273903708677672.50
555.50	273675285551462.75
556.50	273377059419738.34
557.50	273090311009396.59
558.50	272871729199250.28
559.50	272911468953085.59
560.50	273114209373957.28
561.50	273388367676133.03
562.50	273629985857412.28
563.50	273981343329202.25
564.50	274413410828794.91
565.50	275021223448200.22
566.50	275641211997347.75
567.50	276274940753201.97
568.50	276831113366282.38
569.50	277367229054713.84
570.50	277877436193945.84
571.50	278443533229835.72
572.50	279034024640435.75
573.50	279611574668014.00
574.50	280121899462588.31
575.50	280546194374233.81
576.50	280846566564947.69
577.50	281110326651323.72
578.50	281353047646672.62
579.50	281422484683436.56
580.50	281287703704792.12
581.50	281003969965644.59
582.50	280674426535877.50
583.50	280322663355579.31
584.50	279952626831665.22
585.50	279553386387453.22
586.50	279192986322709.22
587.50	278853304349883.94
588.50	278641275560852.00
589.50	278484733409445.94
590.50	278580911217682.38
591.50	278701972418053.53
592.50	278862830233212.38
593.50	279052437457071.66
594.50	279260995669343.12
595.50	279464472303565.56
596.50	279666067506644.66
597.50	279800782466624.66
598.50	279905327925884.28
599.50	279866583295050.50
600.50	279781652566924.34
601.50	279604392103043.44
602.50	279409531409532.75
603.50	279195016393934.81
604.50	278882979746888.72
605.50	278504759134241.84
606.50	277997447875944.53
607.50	277437742467743.34
608.50	276903656847325.81
609.50	276373121723775.72
610.50	275902246271553.47
611.50	275435342395562.47
612.50	274974663855883.53
613.50	274512108405669.28
614.50	274117272778598.16
615.50	273730814022056.62
616.50	273608921490366.34
617.50	273496404845708.84
618.50	273558058035818.59
619.50	273614641587229.03
620.50	273609773045362.09
621.50	273601311491915.94
622.50	273539631152690.44
623.50	273477000326141.06
624.50	273478408881701.03
625.50	273478417253680.34
626.50	273523000412972.81
627.50	273568248837795.91
628.50	273463442266849.78
629.50	273338493636876.06
630.50	273176677844925.97
631.50	273004185528303.34
632.50	272875308182323.16
633.50	272765145732591.19
634.50	272659823896894.53
635.50	272557762232066.97
636.50	272410023117242.84
637.50	272202049805633.03
638.50	271988018828486.00
639.50	271760978937603.81
640.50	271534716025719.38
641.50	271334969998863.84
642.50	271133279504927.59
643.50	270618290475492.34
644.50	270061847525020.50
645.50	269458795646874.75
646.50	268832038319698.53
647.50	268231624095105.94
648.50	267665767926633.50
649.50	267112682891789.94
650.50	266624059094684.34
651.50	266132668555874.72
652.50	265684907272488.84
653.50	265239117104812.88
654.50	264946112260861.31
655.50	264746359904362.22
656.50	264676055547819.59
657.50	264911122574658.16
658.50	265145678285050.44
659.50	265519999436877.19
660.50	265898579710449.28
661.50	266253383903515.09
662.50	266592866181155.00
663.50	266920546931955.53
664.50	267209071287720.09
665.50	267497253228585.47
666.50	267754380047552.81
667.50	268005213473777.97
668.50	268170578015824.97
669.50	268217656365020.28
670.50	268263676986514.53
671.50	268093565394247.91
672.50	267917359683273.00
673.50	267724639278781.28
674.50	267515919625783.75
675.50	267305129559454.25
676.50	267083706272423.12
677.50	266860458483501.34
678.50	266623237979726.41
679.50	266372926902746.09
680.50	266120722460358.38
681.50	265862289207298.91
682.50	265601949865588.50
683.50	265337512097680.56
684.50	265068367496008.53
685.50	264797302226064.91
686.50	264500472275745.03
687.50	264198084103407.03
688.50	263890129230397.00
689.50	263570507567074.31
690.50	263248847022390.59
691.50	262934015902528.16
692.50	262621953698198.66
693.50	262308007022859.44
694.50	262003457680270.66
695.50	261696942067627.69
696.50	261392842233825.31
697.50	261095307256196.22
698.50	260795843017498.31
699.50	260505974231705.56
700.50	260220423622852.97
701.50	259932994447225.09
702.50	259651305456342.44
703.50	259368246584615.41
704.50	259080206269028.22
705.50	258777780030930.41
706.50	258473453929733.22
707.50	258163989112525.50
708.50	257848315844931.59
709.50	257530721421754.59
710.50	257214556554575.91
711.50	256898286732488.97
712.50	256580110265560.44
713.50	256247257508873.34
714.50	255909843177834.81
715.50	255570479076196.19
716.50	255256473366569.34
717.50	254940870337904.34
718.50	254629476310521.06
719.50	254356984197531.78
720.50	254082749534225.06
721.50	253812316961806.94
722.50	253557739574772.34
723.50	253301483678090.28
724.50	253039540159778.00
725.50	252767375942647.75
726.50	252493498630708.00
727.50	252231389410979.94
728.50	251989630013584.62
729.50	251746255052123.34
730.50	251516854091429.56
731.50	251308344722749.84
732.50	251098323892205.12
733.50	250878002167394.41
734.50	250643990679617.19
735.50	250408410668707.00
736.50	250177055815729.84
737.50	249952850493987.16
738.50	249727115981637.28
739.50	249520183091220.72
740.50	249349584276553.56
741.50	249177613372120.00
742.50	249018059895179.16
743.50	248892677986522.81
744.50	248766056643388.72
745.50	248635724230093.41
746.50	248492062166772.16
747.50	248347121664188.62
748.50	248199969703168.09
749.50	248029114433208.00
750.50	247856918398055.47
751.50	247683381597710.41
752.50	247512969128053.09
753.50	247341780359727.22
754.50	247169264160326.28
755.50	246976935114915.81
756.50	246775296895969.75
757.50	246572261337978.59
758.50	246355285463094.75
759.50	246123807028408.75
760.50	245890863758530.12
761.50	245655502674618.75
762.50	245415652523364.72
763.50	245174327108171.78
764.50	244931526429039.97
765.50	244715232663155.75
766.50	244498403300268.44
767.50	244280174042757.31
768.50	244089427412786.12
769.50	243911600285049.47
770.50	243732485450696.97
771.50	243549036390170.41
772.50	243358626569804.09
773.50	243166906478099.56
774.50	242973876115057.03
775.50	242770466039567.00
776.50	242565630574172.75
777.50	242359461211259.56
778.50	242153821301278.81
779.50	241948096110116.72
780.50	241741044999814.84
781.50	241529704991577.69
782.50	241304383671622.56
783.50	241077696523058.12
784.50	240849643545884.19
785.50	240590519613365.12
786.50	240319503995141.38
787.50	240047020340636.31
788.50	239768511076340.91
789.50	239476184259721.19
790.50	239182346591596.56
791.50	238886998071967.00
792.50	238620346832138.84
793.50	238361295569641.53
794.50	238100832462174.06
795.50	237842737830550.44
796.50	237595912624169.62
797.50	237347716895703.44
798.50	237098150645151.94
799.50	236826789624891.84
800.50	236543934703447.28
801.50	236259633002377.16
802.50	235976082846591.59
803.50	235716403628813.06
804.50	235455346115051.03
805.50	235192910305305.56
806.50	234944019891763.81
807.50	234712050875331.34
808.50	234478785804106.78
809.50	234244224678090.12
810.50	233997929312681.19
811.50	233747699369260.09
812.50	233496141174302.31
813.50	233240777988476.47
814.50	232964016756091.00
815.50	232685871916761.12
816.50	232406343470486.75
817.50	232139384893935.84
818.50	231892032665097.69
819.50	231643382171680.00
820.50	231393433413682.81
821.50	231168794125329.78
822.50	230957266032660.66
823.50	230744539334512.97
824.50	230530614030886.75
825.50	230290193322162.41
826.50	230045058977188.06
827.50	229798656380791.72
828.50	229544633561389.19
829.50	229204834817921.06
830.50	228863548770644.16
831.50	228520775419558.38
832.50	228168121960335.38
833.50	227787351896122.25
834.50	227405010516044.97
835.50	227021097820103.66
836.50	226648322648137.44
837.50	226295671790948.84
838.50	225941531741544.09
839.50	225585902499923.19
840.50	225193297732397.53
841.50	224759055217345.06
842.50	224323143848356.97
843.50	223885563625433.12
844.50	223424620524389.44
845.50	222943455214648.12
846.50	222460525908001.66
847.50	221975832604449.97
848.50	221551595801694.47
849.50	221170850985518.19
850.50	220788595034476.06
851.50	220404827948568.03
852.50	220098549364727.69
853.50	219845907431740.12
854.50	219592068493364.06
855.50	219337032549599.50
856.50	219129073332031.06
857.50	218956489376323.62
858.50	218782906175314.41
859.50	218608323729003.53
860.50	218446412708733.16
861.50	218296684047408.09
862.50	218146018442322.06
863.50	217994415893475.12
864.50	217883418282220.19
865.50	217826710676658.22
866.50	217769289629999.12
867.50	217711155142242.78
868.50	217681330572444.31
869.50	217712605047964.50
870.50	217743374943635.72
871.50	217773640259457.97
872.50	217795675536662.53
873.50	217779426878611.88
874.50	217762569471370.97
875.50	217745103314939.94
876.50	217727028409318.78
877.50	217646985584107.38
878.50	217566194159744.75
879.50	217484654136230.94
880.50	217402365513565.97
881.50	217326105542377.84
882.50	217250915940035.53
883.50	217174997202633.41
884.50	217098349330171.41
885.50	217005879181889.75
886.50	216900773520387.38
887.50	216794877849658.94
888.50	216688192169704.50
889.50	216564195787741.03
890.50	216398879565312.22
891.50	216232645243930.19
892.50	216065492823595.00
893.50	215897422304306.72
894.50	215701639917398.00
895.50	215504879523724.75
896.50	215307141123286.84
897.50	215108424716084.38
898.50	214889991563505.41
899.50	214661298892877.53
900.50	214431565960022.50
901.50	214200792764940.19
902.50	213973819960382.41
903.50	213756603915275.41
904.50	213538382211839.03
905.50	213319154850073.19
906.50	213098921829977.88
907.50	212894269879884.41
908.50	212689898665374.72
909.50	212484561098743.28
910.50	212278257179990.19
911.50	212067570706499.62
912.50	211852624550304.78
913.50	211636697344376.62
914.50	211419789088715.12
915.50	211200747177769.72
916.50	210965391784497.97
917.50	210729019370343.56
918.50	210491629935306.53
919.50	210253223479386.88
920.50	210032855298062.25
921.50	209824767698870.19
922.50	209615733251768.88
923.50	209405751956758.16
924.50	209195621798848.59
925.50	208992623761876.41
926.50	208788698058174.16
927.50	208583844687741.91
928.50	208378063650579.62
929.50	208161044651417.25
930.50	207934966139255.34
931.50	207707920344997.00
932.50	207479907268642.16
933.50	207250926910190.88
934.50	207007519051773.09
935.50	206763115103944.00
936.50	206517715066703.56
937.50	206271318940051.78
938.50	206043810563648.66
939.50	205843992290100.56
940.50	205643281277529.88
941.50	205441677525936.50
942.50	205239181035320.59
943.50	205073932568251.19
944.50	204917417508515.12
945.50	204760110771660.47
946.50	204602012357687.09
947.50	204432991468842.88
948.50	204205689075916.69
949.50	203977452444074.09
950.50	203748281573315.12
951.50	203518176463639.84
952.50	203287137115048.19
953.50	203105049987841.41
954.50	202937903401263.84
955.50	202769960258159.72
956.50	202601220558529.06
957.50	202437133306868.09
958.50	202327413911300.72
959.50	202217024422902.62
960.50	202105964841673.91
961.50	201994235167614.47
962.50	201889040576490.25
963.50	201794472206929.66
964.50	201699272133753.28
965.50	201603440356961.19
966.50	201506976876553.16
967.50	201401773052211.91
968.50	201291922826323.31
969.50	201181415878838.00
970.50	201070252209756.06
971.50	200958431819077.50
972.50	200814563948534.06
973.50	200667242361592.28
974.50	200519193882587.16
975.50	200370418511518.69
976.50	200214923468917.81
977.50	200024695400269.97
978.50	199833658612906.34
979.50	199641813106826.72
980.50	199449158882031.12
981.50	199252179237470.41
982.50	199047846037869.28
983.50	198842683645344.75
984.50	198636692059897.03
985.50	198429871281525.97
986.50	198218755035235.81
987.50	198003599686720.09
988.50	197787601631011.53
989.50	197570760868110.00
990.50	197353077398015.66
991.50	197128003843150.03
992.50	196898990147683.44
993.50	196669114322943.41
994.50	196438376368929.94
995.50	196206776285643.09
996.50	195991407479800.47
997.50	195779488491612.28
998.50	195566750257760.12
999.50	195353192778244.00
1000.50	195138816053063.78
1001.50	194952593908014.59
1002.50	194768478782623.59
1003.50	194583607994931.47
1004.50	194397981544938.38
1005.50	194211599432644.25
1006.50	194055350315629.41
1007.50	193898719231303.34
1008.50	193741394483015.47
1009.50	193583376070765.78
1010.50	193424214149161.56
1011.50	193255802152540.12
1012.50	193086678685113.19
1013.50	192916843746880.56
1014.50	192746297337842.22
1015.50	192575124754512.59
1016.50	192404222744218.84
1017.50	192232611362984.31
1018.50	192060290610809.22
1019.50	191887260487693.34
1020.50	191715116585937.97
1021.50	191558415460490.53
1022.50	191401039709429.88
1023.50	191242989332755.97
1024.50	191084264330468.84
1025.50	190924076605754.78
1026.50	190755236413587.62
1027.50	190585704518028.03
1028.50	190415480919076.12
1029.50	190244565616731.81
1030.50	190071752824225.44
1031.50	189879336997190.78
1032.50	189686190463471.81
1033.50	189492313223068.56
1034.50	189297705275980.91
1035.50	189102247940790.31
1036.50	188894298862573.75
1037.50	188685596155139.06
1038.50	188476139818486.28
1039.50	188265929852615.41
1040.50	188054966257526.38
1041.50	187843498593204.66
1042.50	187631296581017.12
1043.50	187418341454914.56
1044.50	187204633214897.03
1045.50	186990171860964.38
1046.50	186761206786219.03
1047.50	186528840652326.53
1048.50	186295690119721.88
1049.50	186061755188405.03
1050.50	185827035858375.97
1051.50	185565448619587.28
1052.50	185293370869628.19
1053.50	185020440759310.31
1054.50	184746658288633.59
1055.50	184472023457598.22
1056.50	184190393108029.22
1057.50	183903799453634.25
1058.50	183616334056775.62
1059.50	183327996917453.12
1060.50	183038788035666.94
1061.50	182747310271410.78
1062.50	182453316466328.38
1063.50	182158445196199.38
1064.50	181862696461023.66
1065.50	181566070260801.22
1066.50	181271030381233.94
1067.50	180981155339912.22
1068.50	180690418765682.06
1069.50	180398820658543.66
1070.50	180106361018496.84
1071.50	179816527688726.06
1072.50	179554085495126.22
1073.50	179290840952314.34
1074.50	179026794060290.44
1075.50	178761944819054.62
1076.50	178496293228606.75
1077.50	178267916408255.31
1078.50	178042577279428.09
1079.50	177816513468188.34
1080.50	177589724974536.09
1081.50	177362211798471.47
1082.50	177167483086472.34
1083.50	176987160344116.81
1084.50	176806202644947.72
1085.50	176624609988965.00
1086.50	176442382376168.78
1087.50	176276523602720.25
1088.50	176130040476832.41
1089.50	175982990375325.03
1090.50	175835373298198.03
1091.50	175687189245451.59
1092.50	175543187908965.88
1093.50	175416512535497.16
1094.50	175289311591590.47
1095.50	175161585077245.69
1096.50	175033332992462.88
1097.50	174904555337242.03
1098.50	174789928299658.38
1099.50	174675575546172.09
1100.50	174560725349000.62
1101.50	174445377708144.09
1102.50	174329532623602.31
1103.50	174206314983744.28
1104.50	174079198121988.72
1105.50	173951565218703.59
1106.50	173823416273888.91
1107.50	173694751287544.69
1108.50	173560048782548.84
1109.50	173415410358713.47
1110.50	173270228968835.84
1111.50	173124504612916.16
1112.50	172978237290954.12
1113.50	172830933361684.75
1114.50	172676521313040.00
1115.50	172521553631953.25
1116.50	172366030318424.47
1117.50	172209951372453.75
1118.50	172053316794041.09
1119.50	171891953730322.12
1120.50	171728635385880.22
1121.50	171564751469195.03
1122.50	171400301980266.41
1123.50	171235286919094.53
1124.50	171065516610473.12
1125.50	170889138871642.41
1126.50	170712177385877.34
1127.50	170534632153177.88
1128.50	170356503173544.12
1129.50	170177760435665.50
1130.50	169998034823007.47
1131.50	169817724704259.81
1132.50	169636830079422.28
1133.50	169455350948495.09
1134.50	169273287311478.16
1135.50	169098676571234.12
1136.50	168926781255481.97
1137.50	168754321372496.53
1138.50	168581296922277.69
1139.50	168407707904825.53
1140.50	168234054090336.00
1141.50	168060807577792.44
1142.50	167886999075678.59
1143.50	167712628583994.44
1144.50	167537696102739.94
1145.50	167362201631915.16
1146.50	167172272583501.62
1147.50	166981327922286.75
1148.50	166789796323159.53
1149.50	166597677786119.78
1150.50	166404972311167.59
1151.50	166209683986864.81
1152.50	166012358687682.97
1153.50	165814440473642.75
1154.50	165615929344744.19
1155.50	165416825300987.16
1156.50	165218374751187.78
1157.50	165025016436334.88
1158.50	164831077181536.44
1159.50	164636556986792.72
1160.50	164441455852103.50
1161.50	164245773777468.91
1162.50	164048262858475.03
1163.50	163849795781288.59
1164.50	163650744975932.97
1165.50	163451110442408.09
1166.50	163250892180714.00
1167.50	163047919383487.88
1168.50	162840324186872.31
1169.50	162632134637150.78
1170.50	162423350734323.47
1171.50	162213972478390.44
