# λ (nm)	photon flux (γ/s/cm^2/nm)
284.5	15541742674537.994
285.5	7855847384901.33
286.5	21212031874293.49
287.5	23295655037205.035
288.5	19272396952958.71
289.5	28807974619043.11
290.5	38605120463320.82
291.5	36045100812630.68
292.5	31707841581243.08
293.5	35875745308102.61
294.5	32516145732199.79
295.5	36454986254289.516
296.5	32799469052365.13
297.5	35057208944266.074
298.5	26066641343087.496
299.5	36731238901517.055
300.5	24237612418752.58
301.5	33131170642812.16
302.5	32453328150988.39
303.5	42687468863523.664
304.5	40318516387820.914
305.5	42551931683275.56
306.5	38104064310553.41
307.5	44167865841013.91
308.5	44694064393997.92
309.5	33779275078589.06
310.5	40953066776341.63
311.5	46889204767140.68
312.5	43573453711452.305
313.5	45517022681941.266
314.5	44504484014054.555
315.5	41467314282726.93
316.5	43764591989726.625
317.5	49174382752726.9
318.5	45471417288012.35
319.5	48304865533579.914
320.5	51431199862594.51
321.5	48549802749986.31
322.5	46196660668713.29
323.5	46514387253250.57
324.5	52404971840186.195
325.5	60802354281589.65
326.5	66825536597588.61
327.5	66231132573359.48
328.5	66412111406633.44
329.5	71859157065681.33
330.5	71715036484072.16
331.5	68567848087227.55
332.5	67344277863834.625
333.5	66603901575447.65
334.5	68258601976296.08
335.5	66567054395120.48
336.5	61335509368414.51
337.5	62088787290630.71
338.5	67019230249905.54
339.5	71308653318521.53
340.5	72492317367943.77
341.5	71458477484094.89
342.5	72656557933043.55
343.5	69218877880649.08
344.5	65339464508344.0
345.5	68025001064838.16
346.5	70150766602298.8
347.5	69547724328297.98
348.5	69133828302913.336
349.5	71749579479705.05
350.5	76161769158919.3
351.5	75776175849057.0
352.5	74767657298322.1
353.5	79750543034238.08
354.5	83932538157380.44
355.5	81006853244062.89
356.5	73202004357867.02
357.5	65225999748954.336
358.5	65296592329843.96
359.5	72804413795621.8
360.5	75962025989334.9
361.5	75776424350568.61
362.5	77623923420549.3
363.5	80459839370380.83
364.5	85148654985309.25
365.5	91421488717177.28
366.5	95821635248125.3
367.5	96034341360264.12
368.5	95366505028319.9
369.5	96732622185863.4
370.5	96360134316525.16
371.5	93509655548576.67
372.5	86624738322114.17
373.5	81045470381313.16
374.5	80014927869650.73
375.5	84707658217146.28
376.5	93677432702877.16
377.5	100919008594338.78
378.5	102726782360362.22
379.5	99984003256608.66
380.5	94921704512262.5
381.5	85669934505328.92
382.5	75936229878308.39
383.5	71907360391656.05
384.5	76012185302601.61
385.5	81653076734015.89
386.5	84465829393671.5
387.5	86129346375318.06
388.5	90028249053421.02
389.5	97290561220879.36
390.5	101702556164008.56
391.5	97407213338822.7
392.5	87742151217699.64
393.5	82221469992623.73
394.5	83686401992051.42
395.5	87929924672206.5
396.5	92692034183154.95
397.5	102313946332304.88
398.5	118381898271874.05
399.5	134720918213103.58
400.5	146161895438586.72
401.5	150994568464412.9
402.5	152221923140814.44
403.5	151337254693852.25
404.5	149375842199390.78
405.5	147506411789300.44
406.5	147957335675459.28
407.5	148916688617241.2
408.5	150643231243416.03
409.5	152630112571582.9
410.5	154100635224774.38
411.5	157083984490384.75
412.5	159000754406750.22
413.5	160764682566745.53
414.5	161463195983289.06
415.5	160914824347088.44
416.5	160534065803377.75
417.5	159221050327124.0
418.5	159112158574476.56
419.5	159336456014058.38
420.5	159582779949235.28
421.5	160167461463435.03
422.5	159379789752120.53
423.5	158767910696695.3
424.5	157918492668706.1
425.5	156701197838135.75
426.5	154858517800180.53
427.5	150174106311873.53
428.5	145498328915113.16
429.5	142153793647896.5
430.5	141698316773420.38
431.5	145471208835481.47
432.5	151866278053358.28
433.5	158445782126061.47
434.5	163989905524457.66
435.5	167312777642202.6
436.5	168996352265815.03
437.5	169359996667433.94
438.5	170095406550373.66
439.5	172086311715468.1
440.5	175195483742047.88
441.5	179347824393023.03
442.5	183013187025725.6
443.5	185500771579084.94
444.5	187394695869571.75
445.5	188816808455379.66
446.5	190851035140860.34
447.5	194355834290370.22
448.5	197590939843052.3
449.5	200032080866797.4
450.5	201773601783295.56
451.5	202009475921342.47
452.5	201336922248160.4
453.5	201096624107715.8
454.5	201518605924599.0
455.5	202171962131737.84
456.5	203338784516763.16
457.5	204755585931083.3
458.5	205862121558603.66
459.5	206861840750533.38
460.5	207816088635023.7
461.5	208513537948798.03
462.5	208714831198560.12
463.5	208420402901248.7
464.5	207730412984387.66
465.5	206937684156982.6
466.5	205990435249894.88
467.5	205668386231702.53
468.5	205973453546451.9
469.5	206603468194005.88
470.5	207575446465401.75
471.5	208990733178473.72
472.5	210508554223416.94
473.5	211945809943294.38
474.5	213378419981601.5
475.5	214801657432657.25
476.5	215976010953622.03
477.5	217100077809593.3
478.5	218209302988466.5
479.5	218735051527256.34
480.5	218561518394049.44
481.5	216969779045469.4
482.5	214405262173902.12
483.5	211344875228286.9
484.5	208259122711938.7
485.5	205642248410554.66
486.5	204093956522706.25
487.5	204053545432477.97
488.5	205222679509479.22
489.5	206974466851995.7
490.5	209001425827666.34
491.5	210903087904128.6
492.5	212554179028600.97
493.5	213595991137850.03
494.5	214307961627434.97
495.5	214456113486592.47
