# λ (nm)	photon flux (γ/s/cm^2/nm)
426.5	188226559137369.75
427.5	182532250114545.8
428.5	176789528363940.72
429.5	172715598729582.66
430.5	172102714038614.25
431.5	176738624513003.5
432.5	184492560969894.84
433.5	192445737120678.4
434.5	199288928580755.6
435.5	203305825548720.94
436.5	205383970595478.9
437.5	205759942990523.3
438.5	206668319369330.25
439.5	209143213263247.22
440.5	212921157690221.88
441.5	217948465286837.7
442.5	222448340225544.9
443.5	225478599011774.25
444.5	227822441544559.12
445.5	229540983899646.62
446.5	232095189699667.56
447.5	236200679272169.06
448.5	240129606816671.28
449.5	243073801705505.34
450.5	245251223915543.56
451.5	245499346919576.53
452.5	244618770986520.34
453.5	244323102578388.12
454.5	244845327987723.38
455.5	245669961871794.1
456.5	247139740140860.12
457.5	248819423962949.8
458.5	250139192007189.06
459.5	251363251890955.62
460.5	252488991411117.62
461.5	253335431950602.4
462.5	253613838781717.4
463.5	253217863980875.53
464.5	252384375230048.88
465.5	251402982616447.44
466.5	250303838384310.66
467.5	249849635406670.25
468.5	250191815394837.88
469.5	250972526693338.62
470.5	252230747923788.9
471.5	253953387577135.72
472.5	255756301980707.34
473.5	257468664719728.44
474.5	259233416212295.75
475.5	260907410562924.6
476.5	262335213720514.78
477.5	263771375254018.4
478.5	265064414342903.97
479.5	265716582534984.0
480.5	265509224870095.7
481.5	263496546492230.22
482.5	260365045345703.9
483.5	256614540373699.34
484.5	252818073418386.44
485.5	249656468195621.03
486.5	247816010854406.16
487.5	247803186561313.5
488.5	249232606280897.44
489.5	251373809319385.62
490.5	253818375449060.0
491.5	256150257612472.5
492.5	258188147955058.6
493.5	259493017213667.53
494.5	260347155958495.56
495.5	260506176067176.3
496.5	260117896759159.22
497.5	259542617499448.22
498.5	258684810879022.03
499.5	257827751979773.56
500.5	257272384236931.7
501.5	257132397436548.1
502.5	257569492190839.47
503.5	258486575353474.53
504.5	259685431242294.12
505.5	260926257214559.28
506.5	261957610309620.34
507.5	262501012057157.34
508.5	262601711557809.7
509.5	262347349182273.56
510.5	261600481358141.16
511.5	259785676653239.72
512.5	257278703233895.9
513.5	254844483217447.84
514.5	252638442243699.8
515.5	250685290578414.2
516.5	249121964485882.94
517.5	248317751623952.4
518.5	249339423420104.22
519.5	251054335714964.6
520.5	252878413447224.22
521.5	254705390777394.1
522.5	256677025849556.53
523.5	258797976108193.2
524.5	260706259354276.4
525.5	262081907252743.75
526.5	263054691367843.5
527.5	264055163667112.97
528.5	265655051083169.97
529.5	267110095857243.4
530.5	268297276462809.56
531.5	269150545429192.62
532.5	269738406906737.62
533.5	270197549997360.16
534.5	270446816852990.03
535.5	270430555070656.88
536.5	270043373764895.28
537.5	269661151731360.16
538.5	269367237676437.22
539.5	269234496522331.3
540.5	269329562484189.97
541.5	269575482728250.06
542.5	269949861359297.03
543.5	270439789033918.62
544.5	271041953118839.38
545.5	271633361619107.8
546.5	272166317946502.62
547.5	272802063455130.28
548.5	273322077872458.97
549.5	273715778386967.22
550.5	273861089549660.6
551.5	273821527953584.9
552.5	273677690182743.38
553.5	273537054467457.75
554.5	273348806581321.34
555.5	273120846218000.8
556.5	272823224263220.44
557.5	272537056777083.0
558.5	272318917792283.1
559.5	272358577037267.97
560.5	272560906725896.97
561.5	272834509610194.84
562.5	273075638296695.25
563.5	273426283952648.16
564.5	273857476125789.6
565.5	274464057376337.84
566.5	275082789889386.8
567.5	275715234772828.94
568.5	276270280634649.16
569.5	276805310205185.97
570.5	277314483714707.38
571.5	277879433893428.1
572.5	278468729026244.22
573.5	279045108994013.5
574.5	279554399920519.03
575.5	279977835252215.47
576.5	280277598918279.9
577.5	280540824652545.2
578.5	280783053918921.94
579.5	280852350283047.84
580.5	280717842357469.97
581.5	280434683435098.06
582.5	280105807628054.7
583.5	279754757085519.22
584.5	279385470219372.97
585.5	278987038597212.03
586.5	278627368667713.03
587.5	278288374857307.06
588.5	278076775617842.34
589.5	277920550605508.25
590.5	278016533566921.78
591.5	278137349509153.9
592.5	278297881442128.56
593.5	278487104540316.44
594.5	278695240234069.38
595.5	278898304644552.94
596.5	279099491435488.44
597.5	279233933476149.16
598.5	279338267136544.22
599.5	279299600998539.06
600.5	279214842331752.66
601.5	279037940980216.34
602.5	278843475055392.28
603.5	278629394626213.12
604.5	278317990134862.97
605.5	277940535760146.4
606.5	277434252264788.44
607.5	276875680764944.5
608.5	276342677149702.56
609.5	275813216838369.03
610.5	275343295333710.34
611.5	274877337359258.38
612.5	274417592109196.6
613.5	273955973751036.53
614.5	273561938022288.2
615.5	273176262193349.94
616.5	273054616603994.6
617.5	272942327907042.84
618.5	273003856193825.75
619.5	273060325112501.06
620.5	273055466433823.28
621.5	273047022022655.9
622.5	272985466641758.7
623.5	272922962699131.8
624.5	272924368401096.16
625.5	272924376756114.66
626.5	272968869594291.4
627.5	273014026350236.03
628.5	272909432107141.25
629.5	272784736610858.3
630.5	272623248641859.66
631.5	272451105777782.1
632.5	272322489524686.66
633.5	272212550253292.03
634.5	272107441789322.66
635.5	272005586891435.34
636.5	271858147081593.0
637.5	271650595103550.16
638.5	271436997732207.47
639.5	271210417801915.16
640.5	270984613276537.16
641.5	270785271915575.22
642.5	270583990026832.56
643.5	270070044314749.25
644.5	269514728663214.72
645.5	268912898509130.34
646.5	268287410930934.34
647.5	267688213086775.22
648.5	267123503287498.16
649.5	266571538748783.56
650.5	266083904855650.62
651.5	265593509825961.5
652.5	265146655663096.22
