time (yyyyDDD),wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm)
2003305,165.5,5.251275142654777E-4,0.08875229209661484
2003305,166.5,3.479548613540828E-4,0.08835522830486298
2003305,167.5,4.2009848402813077E-4,0.0871446430683136
2003305,168.5,4.4005722156725824E-4,0.08640972524881363
2003305,169.5,5.862920661456883E-4,0.08427165448665619
2003305,170.5,6.770032341592014E-4,0.08344140648841858
2003305,171.5,6.831259815953672E-4,0.08408378064632416
2003305,172.5,7.566133281216025E-4,0.08404727280139923
2003305,173.5,7.52079882659018E-4,0.08423026651144028
2003305,174.5,9.292977629229426E-4,0.0830005630850792
2003305,175.5,0.0011412573512643576,0.08221735060214996
2003305,176.5,0.0012360314140096307,0.0812792256474495
2003305,177.5,0.001495015574619174,0.08042366057634354
2003305,178.5,0.001685426221229136,0.08045650273561478
2003305,179.5,0.0017380856443196535,0.0805789902806282
2003305,180.5,0.0022578148636966944,0.0801253467798233
2003305,181.5,0.0026613150257617235,0.08080195635557175
2003305,182.5,0.0025046472437679768,0.07947523146867752
2003305,183.5,0.002684165257960558,0.07921499758958817
2003305,184.5,0.0023403787054121494,0.08050636202096939
2003305,185.5,0.0026512551121413708,0.0800011083483696
2003305,186.5,0.0030775100458413363,0.07889322191476822
2003305,187.5,0.003424452617764473,0.07854744791984558
2003305,188.5,0.0033590972889214754,0.07876354455947876
2003305,189.5,0.0024894096422940493,0.08349359780550003
2003305,190.5,-1.0,100.0
