time (days since 2003-01-24),wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm)
281.5,115.50,2.4170088497060968E-5,7.874167001593689E-7
281.5,116.50,2.6892145007968902E-5,8.640421099241371E-7
281.5,117.50,1.0121088274432721E-4,3.2855658959592944E-6
281.5,118.50,3.776839403354271E-5,1.2130042436314725E-6
281.5,119.50,6.489044242740462E-5,2.063427489181252E-6
281.5,120.50,2.119205742150117E-4,6.897991904263789E-6
281.5,121.50,0.008706236593485295,2.9327892145521606E-4
281.5,122.50,8.08894028400053E-5,2.5819604413098654E-6
281.5,123.50,5.2696159479861186E-5,1.682135187953444E-6
281.5,124.50,3.857211020371593E-5,1.238430226400124E-6
281.5,125.50,3.302598147967096E-5,1.0670119697082405E-6
281.5,126.50,4.839129048243205E-5,1.6071832503544675E-6
281.5,127.50,2.3781272499159862E-5,7.794470369722486E-7
281.5,128.50,1.859083149277981E-5,6.086996642354963E-7
281.5,129.50,2.26332605508051E-5,7.40455880982192E-7
281.5,130.50,1.8632411654130758E-4,5.941295987456652E-6
281.5,131.50,2.9180849757853555E-5,9.43198373435096E-7
281.5,132.50,2.3793371569971888E-5,7.736005440993328E-7
281.5,133.50,2.494479943299751E-4,8.404330648648375E-6
281.5,134.50,2.187450861438407E-5,7.103460527063347E-7
281.5,135.50,4.90409802950231E-5,1.5965311367095167E-6
281.5,136.50,3.1224993952108354E-5,1.0174176149393692E-6
281.5,137.50,3.3333484530522666E-5,1.087536604668952E-6
281.5,138.50,3.2273187877076026E-5,1.052217898181432E-6
281.5,139.50,9.982238261805492E-5,3.3339065749146625E-6
281.5,140.50,8.111237622897724E-5,2.6797623810270622E-6
281.5,141.50,4.590084007398031E-5,1.508042460218023E-6
281.5,142.50,4.862325743707407E-5,1.5918910658637335E-6
281.5,143.50,5.5805522097748307E-5,1.8384053385989388E-6
281.5,144.50,5.405837761561544E-5,1.7786138692808372E-6
281.5,145.50,5.8232554511496535E-5,1.9229914106840376E-6
281.5,146.50,7.1625191255951E-5,2.3664800311358275E-6
281.5,147.50,8.697123494026026E-5,2.8919904918926757E-6
281.5,148.50,8.941037756574982E-5,3.0134255036639642E-6
281.5,149.50,8.086034534523248E-5,2.7383746965008023E-6
281.5,150.50,9.041692702527147E-5,3.0740419193733487E-6
281.5,151.50,9.86227607806323E-5,3.358977430683428E-6
281.5,152.50,1.2531416549564894E-4,4.281096455902382E-6
281.5,153.50,1.371423124934692E-4,4.72846590180706E-6
281.5,154.50,2.4303375687679648E-4,8.739635382908656E-6
281.5,155.50,2.0903669713142624E-4,7.382439166513261E-6
281.5,156.50,2.0285742797344507E-4,6.949886124962093E-6
281.5,157.50,1.777180229563064E-4,6.183198611972097E-6
281.5,158.50,1.7550788609054936E-4,6.11961848586413E-6
281.5,159.50,1.726054216240787E-4,6.027123093145794E-6
281.5,160.50,1.9328411983025523E-4,6.7407120878496655E-6
281.5,161.50,2.26589049369594E-4,7.903575677116556E-6
281.5,162.50,2.6234570503784623E-4,9.118639338440194E-6
281.5,163.50,2.8346356828111815E-4,9.926220860149396E-6
281.5,164.50,3.3642542349821925E-4,1.1654150264052185E-5
281.5,165.50,5.237930184258541E-4,1.8524053268634188E-5
281.5,166.50,3.464629502221241E-4,1.2054923088340442E-5
281.5,167.50,4.2186950913165866E-4,1.4673235197378129E-5
281.5,168.50,4.50462261288494E-4,1.5646288773307525E-5
281.5,169.50,5.949643090515991E-4,2.0665072325493294E-5
281.5,170.50,6.879781995731971E-4,2.3820912864408338E-5
281.5,171.50,6.966177756765679E-4,2.405470484996512E-5
281.5,172.50,7.620301600874396E-4,2.6332246254465293E-5
281.5,173.50,7.681181224272141E-4,2.653084606667127E-5
281.5,174.50,9.454227161074801E-4,3.261900239186893E-5
281.5,175.50,0.0011610826181350177,3.998397444323389E-5
281.5,176.50,0.001257155259661761,4.3339939122897326E-5
281.5,177.50,0.001530632870496801,5.274156132953833E-5
281.5,178.50,0.001704654449200056,5.848240977903611E-5
281.5,179.50,0.0017020442614807366,5.835229404687071E-5
